"subind","runnum","group","N","go_rt_med","go_rt_sd","go_acc","go_error","go_omit"
"ldrc_2_005_third","1","A_third",128,0.597538,0.129310189646395,0.96875,0,0.03125
"ldrc_2_005_third","2","A_third",128,0.62259,0.120462695085802,0.947916666666667,0.0104166666666667,0.0416666666666667
"ldrc_2_008_third","1","A_third",128,0.460567,0.109079332921659,0.979166666666667,0.0208333333333333,0
"ldrc_2_008_third","2","A_third",128,0.525254,0.103073321668452,0.979166666666667,0.0104166666666667,0.0104166666666667
"ldrc_2_010_third","1","A_third",128,0.6803985,0.159424245776762,0.916666666666667,0,0.0833333333333333
"ldrc_2_010_third","2","A_third",128,0.661639,0.154596616683246,0.90625,0.0104166666666667,0.0833333333333333
"ldrc_2_034_third","1","A_third",128,0.5969305,0.139379209002068,1,0,0
"ldrc_2_034_third","2","A_third",128,0.664761,0.127385761008599,0.96875,0,0.03125
"ldrc2_0_104","1","A2_first",128,0.7251315,0.118681311174661,0.916666666666667,0,0.0833333333333333
"ldrc2_0_104","2","A2_first",128,0.730088,0.135893118306275,0.958333333333333,0,0.0416666666666667
"ldrc2_0_122","1","A2_first",128,0.638378,0.143321016638179,0.84375,0.0208333333333333,0.135416666666667
"ldrc2_0_122","2","A2_first",128,0.765945,0.117773086197851,0.822916666666667,0,0.177083333333333
"ldrc2_0_123","2","A2_first",128,0.74165,0.147947396953819,0.802083333333333,0.03125,0.166666666666667
"ldrc2_0_124","1","A2_first",128,0.6198015,0.142820539753499,0.979166666666667,0,0.0208333333333333
"ldrc2_0_124","2","A2_first",128,0.662224,0.129489904781308,0.979166666666667,0,0.0208333333333333
"ldrc2_0_135","2","A2_first",128,0.638418,0.14174352646462,0.78125,0.0208333333333333,0.197916666666667
"ldrc2_0_137","1","A2_first",128,0.546268,0.124902103839625,0.895833333333333,0.0625,0.0416666666666667
"ldrc2_0_137","2","A2_first",128,0.550815,0.161048478264695,0.864583333333333,0.0625,0.0729166666666667
"ldrc2_0_140","1","A2_first",128,0.7799035,0.128467061629386,0.833333333333333,0,0.166666666666667
"ldrc2_0_143","1","A2_first",128,0.785544,0.13593776312302,0.760416666666667,0.0208333333333333,0.21875
"ldrc2_0_145","1","A2_first",128,0.62916,0.159062681610394,0.822916666666667,0.0520833333333333,0.125
"ldrc2_0_151","1","A2_first",128,0.6288715,0.140724487817017,0.979166666666667,0,0.0208333333333333
"ldrc2_0_151","2","A2_first",128,0.657722,0.130174882590993,0.96875,0,0.03125
"ldrc2_0_172","1","A2_first",128,0.7171705,0.125768126559013,0.958333333333333,0.0104166666666667,0.03125
"ldrc2_0_172","2","A2_first",128,0.79372,0.109232156553714,0.84375,0.0104166666666667,0.145833333333333
"ldrc2_1_129","1","A2_first",128,0.5604735,0.157071655326438,0.958333333333333,0.0104166666666667,0.03125
"ldrc2_1_133","1","A2_first",128,0.622791,0.170942232583175,0.927083333333333,0.0104166666666667,0.0625
"ldrc2_1_133","2","A2_first",128,0.604012,0.139708178032488,0.895833333333333,0.0208333333333333,0.0833333333333333
"ldrc2_1_139","1","A2_first",128,0.648455,0.155593252456376,0.822916666666667,0.0416666666666667,0.135416666666667
"ldrc2_1_141","1","A2_first",128,0.585858,0.134513910956216,0.833333333333333,0.0416666666666667,0.125
"ldrc2_1_141","2","A2_first",128,0.557356,0.14363257796734,0.864583333333333,0.0416666666666667,0.09375
"ldrc2_1_147","1","A2_first",128,0.643284,0.167983820215496,0.84375,0.0520833333333333,0.104166666666667
"ldrc2_1_147","2","A2_first",128,0.628172,0.183614836020933,0.822916666666667,0.0625,0.114583333333333
"ldrc2_1_152","1","A2_first",128,0.745774,0.171366944178462,0.802083333333333,0.0104166666666667,0.1875
"ldrc2_1_157","1","A2_first",128,0.705736,0.13834397172766,0.927083333333333,0.0104166666666667,0.0625
"ldrc2_1_157","2","A2_first",128,0.766038,0.13511873878513,0.854166666666667,0.0208333333333333,0.125
"ldrc2_0_122_second","1","A2_second",128,0.713521,0.155693877308912,0.791666666666667,0,0.208333333333333
"ldrc2_0_122_second","2","A2_second",128,0.7702635,0.155295983738427,0.770833333333333,0.0208333333333333,0.208333333333333
"ldrc2_0_123_second","1","A2_second",128,0.69811,0.147406102922514,0.84375,0.0104166666666667,0.145833333333333
