"subind","N","go_rt_mean","go_rt_se","go_acc_mean","go_error_mean","groups"
"8961",2,0.789376,0.03375,0.848958333333333,0.00520833333333333,"H_control_first"
"8963",2,0.62080625,0.01134075,0.932291666666667,0.0104166666666667,"H_control_first"
"8965",2,0.50158375,0.01402125,0.953125,0.0104166666666667,"H_control_first"
"8972",2,0.53390775,0.01358175,0.953125,0.03125,"H_control_first"
"8960_c_second",2,0.67383275,0.02607225,0.963541666666667,0.00520833333333333,"H_control_second"
"8961_c_second",2,0.633766,0.033759,0.979166666666667,0,"H_control_second"
"8967_c_second",2,0.7481755,0.0082315,0.864583333333333,0.015625,"H_control_second"
"8972_c_second",1,0.6160895,NA,0.9375,0.0208333333333333,"H_control_second"
"8974_c_second",1,0.828249,NA,0.65625,0,"H_control_second"
"8960_c_third",2,0.7680225,0.000777499999999986,0.828125,0,"H_control_third"
"8963_c_third",2,0.52302575,0.01656225,0.984375,0,"H_control_third"
