"subind","cond_type","groups","city","sense","active","ID","subtype","N","rt_mean","acc_mean"
"1986_1","passive_ns","H_second","houston","nonsense","passive","1","i",2,5.96039761224,0.75
"1986_1","passive_s","H_second","houston","sense","passive","1","i",2,5.03494338791,0.75
"2_003","active_ns","A_third","austin","nonsense","active","2","i",1,4.13541460037,1
"2_003","active_s","A_third","austin","sense","active","2","i",1,5.07498192787,0.625
"2_003","passive_ns","A_third","austin","nonsense","passive","2","i",1,4.635586977005,1
"2_003","passive_s","A_third","austin","sense","passive","2","i",1,4.906324982645,0.75
"2_005","active_ns","A_second","austin","nonsense","active","2","i",3,5.012529532115,0.916666666666667
"2_005","active_ns","A_third","austin","nonsense","active","2","i",3,4.41131412982833,0.875
"2_005","active_s","A_second","austin","sense","active","2","i",3,3.98870734373833,0.833333333333333
"2_005","active_s","A_third","austin","sense","active","2","i",3,3.727390964825,1
"2_005","passive_ns","A_second","austin","nonsense","passive","2","i",3,5.44420353571833,0.958333333333333
"2_005","passive_ns","A_third","austin","nonsense","passive","2","i",3,4.87505801518667,0.791666666666667
"2_005","passive_s","A_second","austin","sense","passive","2","i",3,4.67052515347667,0.75
"2_005","passive_s","A_third","austin","sense","passive","2","i",3,4.33132104079,1
"2_008","active_ns","A_first","austin","nonsense","active","2","i",3,4.07752017180167,0.875
"2_008","active_ns","A_second","austin","nonsense","active","2","i",3,4.59669593969833,0.958333333333333
"2_008","active_ns","A_third","austin","nonsense","active","2","i",3,3.12153434753333,1
"2_008","active_s","A_first","austin","sense","active","2","i",3,3.89100706577333,0.958333333333333
"2_008","active_s","A_second","austin","sense","active","2","i",3,4.38432478905,0.875
"2_008","active_s","A_third","austin","sense","active","2","i",3,3.10020057360333,0.875
"2_008","passive_ns","A_first","austin","nonsense","passive","2","i",3,4.24655330180667,0.916666666666667
"2_008","passive_ns","A_second","austin","nonsense","passive","2","i",3,4.43249905109167,0.916666666666667
"2_008","passive_ns","A_third","austin","nonsense","passive","2","i",3,3.699523528415,1
"2_008","passive_s","A_first","austin","sense","passive","2","i",3,4.66568191846167,0.875
"2_008","passive_s","A_second","austin","sense","passive","2","i",3,4.31342224279833,0.916666666666667
"2_008","passive_s","A_third","austin","sense","passive","2","i",3,3.45414328575333,0.875
"2_010","active_ns","A_first","austin","nonsense","active","2","i",3,5.155217528345,0.916666666666667
"2_010","active_ns","A_second","austin","nonsense","active","2","i",3,4.95909269651,1
"2_010","active_s","A_first","austin","sense","active","2","i",3,3.85419869422833,0.916666666666667
"2_010","active_s","A_second","austin","sense","active","2","i",3,4.60034839312333,0.791666666666667
"2_010","passive_ns","A_first","austin","nonsense","passive","2","i",3,5.43930753072333,0.75
"2_010","passive_ns","A_second","austin","nonsense","passive","2","i",3,4.71150203545833,0.875
"2_010","passive_s","A_first","austin","sense","passive","2","i",3,4.69556879997333,0.75
"2_010","passive_s","A_second","austin","sense","passive","2","i",3,4.46768677234667,0.708333333333333
"2_011","active_ns","A_first","austin","nonsense","active","2","i",2,4.749912023545,0.625
"2_011","active_s","A_first","austin","sense","active","2","i",2,4.18099170923,0.8125
"2_011","passive_ns","A_first","austin","nonsense","passive","2","i",2,4.96194779873,0.5625
"2_011","passive_s","A_first","austin","sense","passive","2","i",2,4.5561782121675,0.8125
"2_027","active_ns","A_first","austin","nonsense","active","2","i",3,3.708621819815,0.958333333333333
"2_027","active_s","A_first","austin","sense","active","2","i",3,3.66814668973333,0.75
"2_027","passive_ns","A_first","austin","nonsense","passive","2","i",3,3.96858918666833,0.958333333333333
"2_027","passive_s","A_first","austin","sense","passive","2","i",3,3.53683769703,0.666666666666667
"2_031","active_ns","A_first","austin","nonsense","active","2","i",3,3.16641032695667,1
"2_031","active_ns","A_second","austin","nonsense","active","2","i",2,3.688276290895,1
"2_031","active_s","A_first","austin","sense","active","2","i",3,3.44706606865,0.791666666666667
"2_031","active_s","A_second","austin","sense","active","2","i",2,3.7945142984375,0.8125
"2_031","passive_ns","A_first","austin","nonsense","passive","2","i",3,3.35490556557833,1
"2_031","passive_ns","A_second","austin","nonsense","passive","2","i",2,3.8823181986825,1
"2_031","passive_s","A_first","austin","sense","passive","2","i",3,3.25684440135833,0.708333333333333
"2_031","passive_s","A_second","austin","sense","passive","2","i",2,4.0286539793025,0.875
"2_034","active_ns","A_second","austin","nonsense","active","2","i",2,4.81390941143,0.75
"2_034","active_ns","A_third","austin","nonsense","active","2","i",3,4.487167517345,1
"2_034","active_s","A_second","austin","sense","active","2","i",2,4.6560449600225,0.6875
"2_034","active_s","A_third","austin","sense","active","2","i",3,3.95518732071333,0.791666666666667
"2_034","passive_ns","A_second","austin","nonsense","passive","2","i",2,6.8348900675775,1
"2_034","passive_ns","A_third","austin","nonsense","passive","2","i",3,4.71766265233667,0.916666666666667
"2_034","passive_s","A_second","austin","sense","passive","2","i",2,4.877670526505,0.4375
"2_034","passive_s","A_third","austin","sense","passive","2","i",3,4.86467981338333,0.875
"2_048","active_ns","A_second","austin","nonsense","active","2","i",3,5.16246195634167,0.958333333333333
"2_048","active_s","A_second","austin","sense","active","2","i",3,4.526080091795,0.833333333333333
"2_048","passive_ns","A_second","austin","nonsense","passive","2","i",3,5.35868867238333,0.958333333333333
"2_048","passive_s","A_second","austin","sense","passive","2","i",3,5.44498968124,0.75
"2167_2","active_ns","H_third","houston","nonsense","active","2","i",2,5.0958975825975,0.6875
"2167_2","active_s","H_third","houston","sense","active","2","i",2,3.520777111525,0.6875
"2167_2","passive_ns","H_third","houston","nonsense","passive","2","i",2,4.621868996695,0.5625
"2167_2","passive_s","H_third","houston","sense","passive","2","i",2,4.3169242695675,0.9375
"2416_1","active_ns","H_third","houston","nonsense","active","1","i",3,5.61493593659167,0.833333333333333
"2416_1","active_s","H_third","houston","sense","active","1","i",3,4.75905212868167,0.833333333333333
"2416_1","passive_ns","H_third","houston","nonsense","passive","1","i",3,6.04447363062667,0.875
"2416_1","passive_s","H_third","houston","sense","passive","1","i",3,4.907021331465,0.75
"2436","active_ns","H_control_second","houston","nonsense","active","c","c",3,3.50061519204333,0.958333333333333
"2436","active_s","H_control_second","houston","sense","active","c","c",3,4.10018094890667,0.875
