"subind","runnum","group","N","rt_median","acc_avg"
"ldrc_1_004_third","2","A_third",32,5.606853485105,0.6875
"ldrc_1_004_third","3","A_third",32,5.4673500061,0.96875
"ldrc_1_007_third","1","A_third",32,4.42420816422,0.90625
"ldrc_1_007_third","2","A_third",32,4.42871713638,0.84375
"ldrc_1_007_third","3","A_third",32,3.898092508315,0.9375
"ldrc_1_036_third","1","A_third",32,4.24845695496,0.84375
"ldrc_1_036_third","2","A_third",32,4.51955604553,0.84375
"ldrc_1_036_third","3","A_third",32,4.57027387619,0.78125
"ldrc_2_003_third","1","A_third",32,4.44805598259,0.84375
"ldrc_2_005_third","1","A_third",32,4.5643119812,0.9375
"ldrc_2_005_third","2","A_third",32,3.92222118378,0.90625
"ldrc_2_005_third","3","A_third",32,4.08224487305,0.90625
"ldrc_2_008_third","1","A_third",32,4.11734199524,0.90625
"ldrc_2_008_third","2","A_third",32,2.99531006813,0.96875
"ldrc_2_008_third","3","A_third",32,3.082792401315,0.9375
"ldrc_2_010_third","1","A_third",32,4.40569400787,0.84375
"ldrc_2_010_third","2","A_third",32,4.12911808491,0.8125
"ldrc_2_010_third","3","A_third",32,4.283717513085,0.8125
"ldrc_2_034_third","1","A_third",32,4.5521709919,0.875
"ldrc_2_034_third","2","A_third",32,4.746817588805,0.8125
"ldrc_2_034_third","3","A_third",32,4.294062495235,1
"ldrc2_0_104","1","A2_first",32,4.07082509995,0.84375
"ldrc2_0_104","2","A2_first",32,4.18106913567,0.96875
"ldrc2_0_104","3","A2_first",32,3.82732105255,0.9375
"ldrc2_0_122","2","A2_first",32,4.18639492989,0.78125
"ldrc2_0_122","3","A2_first",32,4.43239402771,0.90625
"ldrc2_0_123","1","A2_first",32,4.29564154148,0.875
"ldrc2_0_123","3","A2_first",32,3.02671897411,0.9375
"ldrc2_0_124","1","A2_first",32,3.292988419535,0.8125
"ldrc2_0_124","2","A2_first",32,2.94875907898,0.96875
"ldrc2_0_137","1","A2_first",32,4.53723502159,0.875
"ldrc2_0_137","2","A2_first",32,4.57901978493,0.84375
"ldrc2_0_137","3","A2_first",32,4.36687421799,0.78125
"ldrc2_0_140","1","A2_first",32,4.88218998909,0.90625
"ldrc2_0_140","2","A2_first",32,5.709171414375,0.75
"ldrc2_0_140","3","A2_first",32,5.47545993328,0.875
"ldrc2_0_143","1","A2_first",32,4.34486699104,0.84375
"ldrc2_0_143","2","A2_first",32,3.986207008365,0.9375
"ldrc2_0_143","3","A2_first",32,5.00986099243,0.84375
"ldrc2_0_145","1","A2_first",32,3.43590414524,0.9375
"ldrc2_0_145","2","A2_first",32,4.73246002197,0.96875
"ldrc2_0_151","1","A2_first",32,4.994810938835,0.9375
"ldrc2_0_151","2","A2_first",32,4.65283107758,0.78125
"ldrc2_0_151","3","A2_first",32,4.71698200703,0.8125
"ldrc2_0_172","1","A2_first",32,4.65354609489,0.90625
"ldrc2_0_172","2","A2_first",32,4.70703291893,0.9375
"ldrc2_0_172","3","A2_first",32,4.283279538155,1
"ldrc2_1_129","1","A2_first",32,3.141140937805,0.875
"ldrc2_1_133","1","A2_first",32,4.40701007843,0.78125
"ldrc2_1_133","2","A2_first",32,3.89484596252,0.84375
"ldrc2_1_133","3","A2_first",32,4.014931082725,0.875
"ldrc2_1_139","2","A2_first",32,6.19374585152,0.84375
"ldrc2_1_141","1","A2_first",32,5.80395507812,0.71875
"ldrc2_1_141","2","A2_first",32,3.96338701248,0.71875
"ldrc2_1_141","3","A2_first",32,4.49844408035,0.90625
"ldrc2_1_147","1","A2_first",32,5.825028538705,0.6875
"ldrc2_1_147","3","A2_first",32,5.649701952935,0.8125
"ldrc2_1_152","2","A2_first",32,4.34093689919,0.90625
"ldrc2_1_157","1","A2_first",32,2.95798647404,0.9375
"ldrc2_1_157","2","A2_first",32,2.82238602638,0.9375
"ldrc2_1_157","3","A2_first",32,3.2164888382,0.90625
"ldrc2_1_173","1","A2_first",32,3.15933299065,0.96875
"ldrc2_1_173","2","A2_first",32,3.41002357006,0.9375
"ldrc2_1_173","3","A2_first",32,3.17476797104,0.84375
"ldrc2_0_122_second","1","A2_second",32,3.58435893059,0.8125
"ldrc2_0_122_second","2","A2_second",32,3.36460900307,0.90625
"ldrc2_0_122_second","3","A2_second",32,3.170174479485,1
"ldrc2_0_123_second","1","A2_second",32,4.53102350235,0.9375
"ldrc2_0_123_second","2","A2_second",32,3.86717200279,0.96875
"ldrc2_0_123_second","3","A2_second",32,4.085106492045,0.875
"ldrc2_0_124_second","1","A2_second",32,2.54850816727,0.96875
"ldrc2_0_137_second","1","A2_second",32,4.72527647018,0.875
"ldrc2_0_137_second","2","A2_second",32,4.75854301453,0.78125
"ldrc2_0_137_second","3","A2_second",32,4.63149118423,0.84375
"ldrc2_0_140_second","1","A2_second",32,4.729885816575,0.875
"ldrc2_0_140_second","2","A2_second",32,4.48782300949,0.90625
"ldrc2_0_140_second","3","A2_second",32,4.527862071995,0.9375
"ldrc2_0_143_second","1","A2_second",32,4.18943989277,0.8125
"ldrc2_0_143_second","2","A2_second",32,4.37433409691,0.78125
"ldrc2_0_143_second","3","A2_second",32,4.28992080688,0.84375
"ldrc2_0_145_second","1","A2_second",32,3.94706201553,0.96875
"ldrc2_0_145_second","2","A2_second",32,3.20932352543,1
"ldrc2_0_145_second","3","A2_second",32,3.43982505798,0.96875
"ldrc2_1_115_second","1","A2_second",32,3.69735646248,1
"ldrc2_1_129_second","1","A2_second",32,3.241562485695,0.875
"ldrc2_1_129_second","2","A2_second",32,3.20962750912,0.6875
"ldrc2_1_129_second","3","A2_second",32,3.35788798332,0.8125
"ldrc2_1_133_second","1","A2_second",32,4.50641989708,0.90625
"ldrc2_1_133_second","2","A2_second",32,4.44095611572,0.90625
"ldrc2_1_133_second","3","A2_second",32,4.386659026145,0.875
"ldrc2_1_134_second","1","A2_second",32,4.70891809464,0.71875
"ldrc2_1_134_second","2","A2_second",32,3.81187319756,0.78125
"ldrc2_1_141_second","1","A2_second",32,4.455517530445,0.8125
"ldrc2_1_141_second","3","A2_second",32,4.77955293655,0.96875
"ldrc2_1_173_second","1","A2_second",32,3.8672618866,0.96875
"ldrc2_1_173_second","2","A2_second",32,4.30093085766,0.8125
"ldrc2_1_173_second","3","A2_second",32,3.53499293327,0.90625
"ldrc3_0_202","1","A3_first",32,4.124642372135,0.8125
"ldrc3_0_216","1","A3_first",32,4.52798986435,0.90625
"ldrc3_0_216","2","A3_first",32,3.983420968055,0.8125
"ldrc3_0_216","3","A3_first",32,4.27395892143,0.78125
"ldrc3_0_217","1","A3_first",32,4.1883610487,0.875
"ldrc3_0_217","2","A3_first",32,4.06813943386,0.8125
"ldrc3_0_217","3","A3_first",32,3.95705699921,0.90625
"ldrc3_0_219","1","A3_first",32,4.50586748123,0.875
"ldrc3_0_219","3","A3_first",32,4.57726550102,0.8125
"ldrc3_0_222","1","A3_first",32,4.60802602768,0.78125
"ldrc3_0_222","2","A3_first",32,5.01610088348,0.78125
"ldrc3_0_222","3","A3_first",32,4.806241512295,0.875
"ldrc3_0_234","1","A3_first",32,3.43130493164,0.9375
"ldrc3_0_234","2","A3_first",32,3.55136978626,0.9375
"ldrc3_0_234","3","A3_first",32,3.1410241127,0.96875
"ldrc3_0_235","1","A3_first",32,3.90257012844,0.9375
"ldrc3_0_235","2","A3_first",32,3.4472424984,0.875
"ldrc3_0_235","3","A3_first",32,3.03110814095,0.96875
"ldrc3_0_236","1","A3_first",32,4.58460307121,0.78125
"ldrc3_0_236","2","A3_first",32,3.91948509216,0.84375
"ldrc3_0_236","3","A3_first",32,4.92449688911,0.90625
"ldrc3_0_237","2","A3_first",32,5.08402609825,0.84375
"ldrc3_0_248","1","A3_first",32,4.63076114655,0.90625
"ldrc3_0_248","2","A3_first",32,5.009800553325,0.875
"ldrc3_0_248","3","A3_first",32,5.16487717628,0.90625
"ldrc3_1_213","1","A3_first",32,4.82033956051,0.625
"ldrc3_1_213","2","A3_first",32,4.43537092209,0.84375
"ldrc3_1_214","1","A3_first",32,2.99116051197,0.8125
"ldrc3_1_214","2","A3_first",32,2.82614457607,0.875
"ldrc3_1_214","3","A3_first",32,2.88442087173,0.90625
"ldrc3_1_224","1","A3_first",32,3.82923197746,0.96875
"ldrc3_1_224","2","A3_first",32,3.285789608955,0.875
"ldrc3_1_224","3","A3_first",32,3.45667886734,1
"ldrc3_1_227","1","A3_first",32,5.29787993431,0.84375
"ldrc3_1_227","2","A3_first",32,3.39770007133,0.90625
"ldrc3_1_227","3","A3_first",32,3.36776685715,0.78125
"ldrc3_1_229","1","A3_first",32,3.85416007042,0.71875
"ldrc3_1_229","2","A3_first",32,4.39298701286,0.84375
"ldrc3_1_229","3","A3_first",32,4.65412998199,0.84375
"ldrc3_1_241","1","A3_first",32,6.0660071373,0.65625
"ldrc3_1_241","2","A3_first",32,6.861129522325,0.8125
"ldrc3_1_241","3","A3_first",32,6.10391449928,0.75
"ldrc3_1_242","1","A3_first",32,5.93397688866,0.78125
"ldrc3_1_242","2","A3_first",32,3.71865582466,0.71875
"ldrc3_1_242","3","A3_first",32,4.75954389572,0.8125
"ldrc3_1_246","1","A3_first",32,4.58460307121,0.78125
"H_LDFHO1627_2","1","H_first",32,6.3867317656,0.625
"H_LDFHO1627_2","2","H_first",32,5.40954582865,0.625
"H_LDFHO1794_1","1","H_first",32,6.5975909127,0.65625
"H_LDFHO1986_1_second","1","H_second",32,4.50962184323,0.71875
"H_LDFHO1986_1_second","3","H_second",32,4.90672359485,0.75
"H_LDFHO2436_2_second","1","H_second",32,3.87375840456,0.78125
"H_LDFHO2436_2_second","2","H_second",32,3.997572816495,0.9375
"H_LDFHO2436_2_second","3","H_second",32,3.42648731665,0.90625
"H_LDFHO2569_2_second","1","H_second",32,5.27955650524,0.6875
"H_LDFHO2569_2_second","2","H_second",32,6.43069060863,0.65625
"H_LDFHO2569_2_second","3","H_second",32,4.554485206435,0.9375
"H_LDFHO1496_2_third","1","H_third",32,3.76663902156,0.6875
"H_LDFHO1496_2_third","2","H_third",32,3.929063633,0.78125
"H_LDFHO1496_2_third","3","H_third",32,3.134787868925,0.875
"H_LDFHO1589_2_third","1","H_third",32,4.315367312315,0.6875
"H_LDFHO1589_2_third","2","H_third",32,3.55298949227,0.71875
"H_LDFHO1690_2_third","1","H_third",32,3.658910952115,0.9375
"H_LDFHO1690_2_third","2","H_third",32,3.49220951532,0.6875
"H_LDFHO1690_2_third","3","H_third",32,3.21463996321,0.84375
"H_LDFHO1697_1_third","1","H_third",32,3.76582369508,0.875
"H_LDFHO1697_1_third","2","H_third",32,4.03958492039,0.84375
"H_LDFHO1697_1_third","3","H_third",32,4.19262053477,0.84375
"H_LDFHO2167_2_third","1","H_third",32,4.54531079482,0.65625
"H_LDFHO2167_2_third","3","H_third",32,3.93029351637,0.78125
"H_LDFHO2416_1_third","1","H_third",32,5.27131770081,0.84375
"H_LDFHO2416_1_third","2","H_third",32,5.90522735588,0.78125
"H_LDFHO2416_1_third","3","H_third",32,4.92356051931,0.84375
