"subind","runnum","first","cond_type","N","rt_median","acc_avg","groups"
"1_020_second","1",1,"passive_ns",8,5.17406511307,0.875,"A_second"
"1_020_second","1",1,"passive_s",8,5.61674499512,0.625,"A_second"
"1_020_second","2",1,"active_ns",8,4.757650494575,1,"A_second"
"1_020_second","2",1,"active_s",8,5.31038713455,0.625,"A_second"
"1_020_second","2",1,"passive_ns",8,4.41192305088,1,"A_second"
"1_020_second","2",1,"passive_s",8,3.93680477142,0.625,"A_second"
"1_020_second","3",1,"active_ns",8,3.52299296856,1,"A_second"
"1_020_second","3",1,"active_s",8,3.95650053024,0.75,"A_second"
"1_020_second","3",1,"passive_ns",8,4.71573996544,1,"A_second"
"1_020_second","3",1,"passive_s",8,3.95053911209,0.625,"A_second"
"1_028_second","1",1,"active_ns",8,3.95908808708,0.875,"A_second"
"1_028_second","1",1,"active_s",8,2.92739605904,0.625,"A_second"
"1_028_second","1",1,"passive_ns",8,3.71859455109,1,"A_second"
"1_028_second","1",1,"passive_s",8,3.33759593964,0.625,"A_second"
"1_028_second","2",1,"active_ns",8,3.562003970145,1,"A_second"
"1_028_second","2",1,"active_s",8,3.4508459568,0.625,"A_second"
"1_028_second","2",1,"passive_ns",8,3.57983100414,1,"A_second"
"1_028_second","2",1,"passive_s",8,5.461007475855,0.25,"A_second"
"1_028_second","3",1,"active_ns",8,2.98688995838,1,"A_second"
"1_028_second","3",1,"active_s",8,3.10942149162,0.75,"A_second"
"1_028_second","3",1,"passive_ns",8,4.077829003335,1,"A_second"
"1_028_second","3",1,"passive_s",8,3.10608911514,0.625,"A_second"
"1_036_second","1",1,"active_ns",8,4.55477190018,0.875,"A_second"
"1_036_second","1",1,"active_s",8,4.37845802307,0.625,"A_second"
"1_036_second","1",1,"passive_ns",8,5.027557969095,0.75,"A_second"
"1_036_second","1",1,"passive_s",8,5.63963103294,0.625,"A_second"
"1_036_second","2",1,"active_ns",8,4.12209010124,0.875,"A_second"
"1_036_second","2",1,"active_s",8,4.98004758358,0.75,"A_second"
"1_036_second","2",1,"passive_ns",8,4.747050523755,0.75,"A_second"
"1_036_second","2",1,"passive_s",8,5.06709003448,0.375,"A_second"
"2_005_second","1",1,"active_ns",8,5.706655979155,1,"A_second"
"2_005_second","1",1,"active_s",8,4.953849554065,1,"A_second"
"2_005_second","1",1,"passive_ns",8,6.324258565905,1,"A_second"
"2_005_second","1",1,"passive_s",8,4.430275082585,0.75,"A_second"
"2_005_second","2",1,"active_ns",8,4.97142148018,1,"A_second"
"2_005_second","2",1,"active_s",8,4.258825063705,0.75,"A_second"
"2_005_second","2",1,"passive_ns",8,5.56434607506,0.875,"A_second"
"2_005_second","2",1,"passive_s",8,5.87106847763,0.75,"A_second"
"2_005_second","3",1,"active_ns",8,4.35951113701,0.75,"A_second"
"2_005_second","3",1,"active_s",8,2.753447413445,0.75,"A_second"
"2_005_second","3",1,"passive_ns",8,4.44400596619,1,"A_second"
