"subind","runnum","TrialNum","Sentence","N","order"
"8957","3",0,"The child peeled the banana.",1,"SC_L6_O3"
"8960","1",0,"A hand was built by the ant.",1,"SC_L2_O1"
"8960","2",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"8960","3",0,"A fence walked to the mother.",1,"SC_L3_O2"
"8960_c_second","1",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"8960_c_second","2",0,"A woman bought a pizza.",1,"SC_L4_O3"
"8960_c_second","3",0,"The money counted the singer.",1,"SC_L6_O2"
"8961","1",0,"A woman bought a pizza.",1,"SC_L4_O3"
"8961","2",0,"The money counted the singer.",1,"SC_L6_O2"
"8961","3",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"8961_c_second","1",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"8961_c_second","2",0,"A fence walked to the mother.",1,"SC_L3_O2"
"8961_c_second","3",0,"A hand was built by the ant.",1,"SC_L2_O1"
"8962","1",0,"The key opened the carrot.",3,"SC_L1_O2"
"8962","2",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"8962","3",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"8962_c_second","1",0,"A plate stained a kitten.",1,"SC_L4_O2"
"8962_c_second","2",0,"The friend borrowed a book.",2,"SC_L5_O3"
"8962_c_second","3",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"8963","1",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"8963","2",0,"The house chewed on the phone.",1,"SC_L5_O2"
"8963","3",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"8963_c_second","1",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"8963_c_second","2",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"8963_c_second","3",0,"A woman bought a pizza.",1,"SC_L4_O3"
"8964_c_second","1",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"8964_c_second","2",0,"The friend borrowed a book.",1,"SC_L5_O3"
"8965","1",0,"The house chewed on the phone.",1,"SC_L5_O2"
"8965","2",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"8965","3",0,"The child peeled the banana.",1,"SC_L6_O3"
"8967_c_second","1",0,"The money counted the singer.",1,"SC_L6_O2"
"8967_c_second","2",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"8967_c_second","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"8972","1",0,"A hand was built by the ant.",1,"SC_L2_O1"
"8972","2",0,"The key opened the carrot.",1,"SC_L1_O2"
"8972","3",0,"A bird dropped the worm.",1,"SC_L3_O3"
"8972_c_second","1",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"8972_c_second","2",0,"A plate stained a kitten.",1,"SC_L4_O2"
"8972_c_second","3",0,"The child peeled the banana.",1,"SC_L6_O3"
"8974_c_second","1",0,"A test was cooked by a bat.",1,"SC_L4_O1"
"8974_c_second","2",0,"A bird dropped the worm.",1,"SC_L3_O3"
"8974_c_second","3",0,"A hand was built by the ant.",1,"SC_L2_O1"
"9015_c_second","1",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"9015_c_second","2",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"9015_c_second","3",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"c_018","1",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"c_018","2",0,"The child peeled the banana.",1,"SC_L6_O3"
"c_018","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"c_032","1",0,"A cowgirl caught a snake.",2,"SC_L2_O3"
"c_032","2",0,"A fence walked to the mother.",1,"SC_L3_O2"
"c_032","3",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"c_037","1",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"c_037","2",0,"A bird dropped the worm.",1,"SC_L3_O3"
"c_037","3",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"c_039","1",0,"A woman bought a pizza.",1,"SC_L4_O3"
"c_039","2",0,"The house chewed on the phone.",1,"SC_L5_O2"
"c_039","3",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"c_040","1",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_043","1",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"c_043","2",0,"A plate stained a kitten.",1,"SC_L4_O2"
"c_043","3",0,"The friend borrowed a book.",1,"SC_L5_O3"
"c_044","1",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"c_044","2",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_045","1",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"c_045","2",0,"A plate stained a kitten.",1,"SC_L4_O2"
"c_046","1",0,"A bird dropped the worm.",1,"SC_L3_O3"
"c_046","2",0,"The key opened the carrot.",1,"SC_L1_O2"
"c_046","3",0,"A hand was built by the ant.",1,"SC_L2_O1"
"c_047","1",0,"The house chewed on the phone.",1,"SC_L5_O2"
"c_047","2",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"c_054","1",0,"A plate stained a kitten.",1,"SC_L4_O2"
"c_054","2",0,"The child peeled the banana.",2,"SC_L6_O3"
"c_054","3",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"c_057","1",0,"A cousin wanted a pillow.",2,"SC_L1_O3"
"c_057","2",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"c_057","3",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_058","1",0,"A wolf was found by a fan.",1,"SC_L6_O1"
"c_058","2",0,"The house chewed on the phone.",1,"SC_L5_O2"
"c_058","3",0,"A woman bought a pizza.",1,"SC_L4_O3"
"c_059","1",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_059","2",0,"The key opened the carrot.",1,"SC_L1_O2"
"c_059","3",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"c_061","1",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"c_061","2",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_061","3",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"c_062","1",0,"The key opened the carrot.",1,"SC_L1_O2"
"c_062","2",0,"A hand was built by the ant.",1,"SC_L2_O1"
"c_068","1",0,"The child peeled the banana.",1,"SC_L6_O3"
"c_068","2",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"c_068","3",0,"A plate stained a kitten.",1,"SC_L4_O2"
"c_078","1",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_078","2",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"c_078","3",0,"A pillow scratched the fish.",2,"SC_L2_O2"
"c_079","1",0,"The soup was caught by a ring.",1,"SC_L1_O1"
"c_079","2",0,"A cowgirl caught a snake.",1,"SC_L2_O3"
"c_079","3",0,"A fence walked to the mother.",1,"SC_L3_O2"
"c_081","1",0,"The money counted the singer.",1,"SC_L6_O2"
"c_081","2",0,"A woman bought a pizza.",1,"SC_L4_O3"
"c_081","3",0,"A worm was jumped by a dress.",1,"SC_L5_O1"
"c_082","1",0,"A pillow scratched the fish.",1,"SC_L2_O2"
"c_082","2",0,"A cousin wanted a pillow.",1,"SC_L1_O3"
"c_082","3",0,"Pasta was waved by a fish.",1,"SC_L3_O1"
"c_084","1",0,"The friend borrowed a book.",1,"SC_L5_O3"
"c_084","2",0,"The money counted the singer.",1,"SC_L6_O2"
"c_084","3",0,"A test was cooked by a bat.",1,"SC_L4_O1"
