"subind","cond_type","groups","ID","N","rt_avg","rt_se","acc_mean","acc_se"
"1_001","passive_s","A_second","1",2,4.234179496765,0.423233509065,0.6875,0.0883883476483184
"1_002","active_ns","A_first","1",2,4.2473775148375,0.0821095705025003,0.8125,0.265165042944955
"1_002","active_s","A_first","1",2,4.222191512585,0.726024568085,0.9375,0.0883883476483184
"1_002","passive_ns","A_first","1",2,5.142926752565,0.104916274545,0.8125,0.0883883476483184
"1_002","passive_s","A_first","1",2,3.94915497303,0.27671456337,0.75,0
"1_004","active_ns","A_first","1",3,5.37471985817333,0.238811141578865,0.833333333333333,0.0721687836487032
"1_004","active_ns","A_second","1",2,4.9646632075325,0.6802813410725,0.9375,0.0883883476483184
"1_004","active_s","A_first","1",3,5.724680026375,0.381636873333881,0.666666666666667,0.360843918243516
"1_004","active_s","A_second","1",2,5.86171245575,0.68468737602,0.875,0
"1_004","passive_ns","A_first","1",3,5.82738137245,0.441489807279427,0.625,0.125
"1_004","passive_ns","A_second","1",2,5.919439315795,0.422518253325,0.9375,0.0883883476483184
"1_004","passive_s","A_first","1",3,5.72554568449833,0.0887604949720073,0.666666666666667,0.260208249933267
"1_004","passive_s","A_second","1",2,6.0465227365475,0.0469132661825,0.8125,0.0883883476483184
"1_007","active_ns","A_first","1",2,4.9812362194075,0.7251513004275,0.9375,0.0883883476483184
"1_007","active_s","A_first","1",2,4.96810352802,0.91237938404,0.8125,0.0883883476483184
"1_007","passive_ns","A_first","1",2,5.46548575163,0.60431665182,0.9375,0.0883883476483184
"1_007","passive_s","A_first","1",2,5.6111900210375,0.2906230092025,0.8125,0.265165042944955
"1_015","active_ns","A_first","1",2,6.722594201565,0.112880289555,1,0
"1_015","active_ns","A_second","1",3,6.65707695484333,0.558178930371374,0.916666666666667,0.0721687836487032
"1_015","active_s","A_first","1",2,5.81490945816,0.35858750343,0.5625,0.265165042944955
"1_015","active_s","A_second","1",3,5.60912688573167,0.241925069947329,0.625,0.125
"1_015","passive_ns","A_first","1",2,6.7630852460875,0.7553187608725,0.9375,0.0883883476483184
"1_015","passive_ns","A_second","1",3,6.62912539640833,0.349624708578725,0.875,0.125
"1_015","passive_s","A_first","1",2,6.6527672409975,0.6106957793225,0.4375,0.0883883476483184
"1_015","passive_s","A_second","1",3,6.33353900909333,0.226499847300885,0.541666666666667,0.0721687836487032
"1_020","active_ns","A_first","1",2,6.0112532377225,0.5404537916175,0.5625,0.0883883476483184
"1_020","active_ns","A_second","1",3,4.318310340245,0.398386176171324,1,0
"1_020","active_s","A_first","1",2,4.528674960135,0.231695055965,0.75,0.176776695296637
"1_020","active_s","A_second","1",3,4.74732685089,0.407087320705322,0.75,0.125
"1_020","passive_ns","A_first","1",2,5.70072180033,0.429700315,0.8125,0.0883883476483184
"1_020","passive_ns","A_second","1",3,4.76724270979667,0.221513378261907,0.958333333333333,0.0721687836487032
"1_020","passive_s","A_first","1",2,4.860715031625,0.267133831975,0.875,0
"1_020","passive_s","A_second","1",3,4.50136295954333,0.557705110846754,0.625,0
"1_028","active_ns","A_first","1",2,4.12632071972,0.0668382644650003,1,0
"1_028","active_ns","A_second","1",3,3.50266067186833,0.282213583803539,0.958333333333333,0.0721687836487032
"1_028","active_s","A_first","1",2,4.74413627386,0.906253278255,0.875,0.176776695296637
"1_028","active_s","A_second","1",3,3.16255450248667,0.153424559636603,0.666666666666667,0.0721687836487032
"1_028","passive_ns","A_first","1",2,4.7262745499625,0.0398015379875001,0.8125,0.0883883476483184
"1_028","passive_ns","A_second","1",3,3.792084852855,0.1483814006097,1,0
"1_028","passive_s","A_first","1",2,5.0808134675025,0.2574965357775,0.625,0.176776695296637
"1_028","passive_s","A_second","1",3,3.968230843545,0.749374274072622,0.5,0.21650635094611
"1_036","active_ns","A_second","1",2,4.33843100071,0.21634089947,0.875,0
"1_036","active_s","A_second","1",2,4.679252803325,0.300794780254999,0.6875,0.0883883476483184
"1_036","passive_ns","A_second","1",2,4.887304246425,0.14025372267,0.75,0
"1_036","passive_s","A_second","1",2,5.35336053371,0.28627049923,0.5,0.176776695296637
"2_005","active_ns","A_second","2",3,5.012529532115,0.389430015270133,0.916666666666667,0.144337567297406
"2_005","active_s","A_second","2",3,3.98870734373833,0.64940102712455,0.833333333333333,0.144337567297406
"2_005","passive_ns","A_second","2",3,5.44420353571833,0.54609618566798,0.958333333333333,0.0721687836487032
"2_005","passive_s","A_second","2",3,4.67052515347667,0.635241096224163,0.75,0
"2_008","active_ns","A_first","2",3,4.07752017180167,0.362810299725441,0.875,0.125
"2_008","active_ns","A_second","2",3,4.59669593969833,0.13271483856528,0.958333333333333,0.0721687836487032
"2_008","active_s","A_first","2",3,3.89100706577333,0.201802610745131,0.958333333333333,0.0721687836487032
"2_008","active_s","A_second","2",3,4.38432478905,0.119762472075315,0.875,0.125
"2_008","passive_ns","A_first","2",3,4.24655330180667,0.42221357404439,0.916666666666667,0.0721687836487032
"2_008","passive_ns","A_second","2",3,4.43249905109167,0.338235227880851,0.916666666666667,0.144337567297406
"2_008","passive_s","A_first","2",3,4.66568191846167,0.0961723631879456,0.875,0.21650635094611
"2_008","passive_s","A_second","2",3,4.31342224279833,0.352337089943159,0.916666666666667,0.0721687836487032
"2_010","active_ns","A_first","2",3,5.155217528345,0.392313058996371,0.916666666666667,0.144337567297406
"2_010","active_ns","A_second","2",3,4.95909269651,0.168996005573309,1,0
"2_010","active_s","A_first","2",3,3.85419869422833,0.241232665775647,0.916666666666667,0.144337567297406
"2_010","active_s","A_second","2",3,4.60034839312333,0.726369545228771,0.791666666666667,0.144337567297406
"2_010","passive_ns","A_first","2",3,5.43930753072333,0.307657363040187,0.75,0.21650635094611
"2_010","passive_ns","A_second","2",3,4.71150203545833,0.438228235793348,0.875,0.125
"2_010","passive_s","A_first","2",3,4.69556879997333,0.259913500097652,0.75,0
"2_010","passive_s","A_second","2",3,4.46768677234667,0.329546764229879,0.708333333333333,0.0721687836487032
"2_011","active_ns","A_first","2",2,4.749912023545,1.133354187015,0.625,0
"2_011","active_s","A_first","2",2,4.18099170923,0.39889329672,0.8125,0.0883883476483184
"2_011","passive_ns","A_first","2",2,4.96194779873,0.14284837246,0.5625,0.0883883476483184
"2_011","passive_s","A_first","2",2,4.5561782121675,0.0593992471675002,0.8125,0.265165042944955
"2_027","active_ns","A_first","2",3,3.708621819815,0.270773219559141,0.958333333333333,0.0721687836487032
"2_027","active_s","A_first","2",3,3.66814668973333,0.333981791865733,0.75,0.125
"2_027","passive_ns","A_first","2",3,3.96858918666833,0.148019287690439,0.958333333333333,0.0721687836487032
"2_027","passive_s","A_first","2",3,3.53683769703,0.240855840834665,0.666666666666667,0.190940653956493
"2_031","active_ns","A_first","2",3,3.16641032695667,0.294584643583005,1,0
"2_031","active_ns","A_second","2",2,3.688276290895,0.14340674877,1,0
"2_031","active_s","A_first","2",3,3.44706606865,0.12469315632251,0.791666666666667,0.144337567297406
"2_031","active_s","A_second","2",2,3.7945142984375,0.3837102651575,0.8125,0.0883883476483184
"2_031","passive_ns","A_first","2",3,3.35490556557833,0.201283108484762,1,0
"2_031","passive_ns","A_second","2",2,3.8823181986825,0.4620017409325,1,0
"2_031","passive_s","A_first","2",3,3.25684440135833,0.125262180609712,0.708333333333333,0.0721687836487032
"2_031","passive_s","A_second","2",2,4.0286539793025,0.0793664455425001,0.875,0.176776695296637
"2_034","active_ns","A_second","2",2,4.81390941143,0.12172949314,0.75,0.176776695296637
"2_034","active_s","A_second","2",2,4.6560449600225,0.1530098915125,0.6875,0.265165042944955
"2_034","passive_ns","A_second","2",2,6.8348900675775,0.5414269566525,1,0
