"subind","runnum","cond_type","group","N","rt_median","acc_avg"
"ldrc_2_027","3","active_s","A_first",8,3.13663697243,0.625
"ldrc_2_027","3","passive_ns","A_first",8,3.81754052639,1
"ldrc_2_027","3","passive_s","A_first",8,3.06365597248,0.5
"ldrc_2_031","1","active_ns","A_first",8,3.2592099905,1
"ldrc_2_031","1","active_s","A_first",8,3.56739616394,0.875
"ldrc_2_031","1","passive_ns","A_first",8,3.74428451061,1
"ldrc_2_031","1","passive_s","A_first",8,3.09438204765,0.625
"ldrc_2_031","2","active_ns","A_first",8,3.62387704849,1
"ldrc_2_031","2","active_s","A_first",8,3.57607197762,0.625
"ldrc_2_031","2","passive_ns","A_first",8,3.07171356678,1
"ldrc_2_031","2","passive_s","A_first",8,3.17292010784,0.75
"ldrc_2_031","3","active_ns","A_first",8,2.61614394188,1
"ldrc_2_031","3","active_s","A_first",8,3.19773006439,0.875
"ldrc_2_031","3","passive_ns","A_first",8,3.248718619345,1
"ldrc_2_031","3","passive_s","A_first",8,3.503231048585,0.75
"ldrc_0_013_second","3","active_ns","A_second",8,4.33649706841,0.875
"ldrc_0_013_second","3","active_s","A_second",8,4.056461453435,0.75
"ldrc_0_013_second","3","passive_ns","A_second",8,4.70250892639,0.875
"ldrc_0_013_second","3","passive_s","A_second",8,3.60571694374,0.875
"ldrc_0_026_second","1","active_ns","A_second",8,4.78851211071,0.5
"ldrc_0_026_second","1","active_s","A_second",8,3.82168793678,0.625
"ldrc_0_026_second","1","passive_ns","A_second",8,5.0253610611,0.875
"ldrc_0_026_second","1","passive_s","A_second",8,4.9526309967,0.625
"ldrc_0_040_second","1","active_ns","A_second",8,3.264892458915,1
"ldrc_0_040_second","1","active_s","A_second",8,3.10477745533,1
"ldrc_0_040_second","1","passive_ns","A_second",8,4.511432528495,1
"ldrc_0_040_second","1","passive_s","A_second",8,3.2476708889,0.625
"ldrc_0_049_second","1","active_ns","A_second",8,4.468649506565,1
"ldrc_0_049_second","1","active_s","A_second",8,3.39303994179,1
"ldrc_0_049_second","1","passive_ns","A_second",8,4.60084104538,0.875
"ldrc_0_049_second","1","passive_s","A_second",8,3.689871549605,0.75
"ldrc_0_049_second","2","active_ns","A_second",8,3.861710071565,1
"ldrc_0_049_second","2","active_s","A_second",8,3.29443645477,1
"ldrc_0_049_second","2","passive_ns","A_second",8,4.18083810806,0.875
"ldrc_0_049_second","2","passive_s","A_second",8,3.892584443095,0.75
"ldrc_0_049_second","3","active_ns","A_second",8,3.89367389679,0.875
"ldrc_0_049_second","3","active_s","A_second",8,3.48581218719,0.875
"ldrc_0_049_second","3","passive_ns","A_second",8,4.0438195467,1
"ldrc_0_049_second","3","passive_s","A_second",8,3.38346362114,0.5
"ldrc_1_001_second","1","active_ns","A_second",8,4.350394010545,1
"ldrc_1_001_second","1","active_s","A_second",8,4.26786184311,0.875
"ldrc_1_001_second","1","passive_ns","A_second",8,4.81098461151,1
"ldrc_1_001_second","1","passive_s","A_second",8,4.65741300583,0.75
"ldrc_1_001_second","2","active_ns","A_second",8,4.040380477905,1
"ldrc_1_001_second","2","active_s","A_second",8,4.306191444395,0.75
"ldrc_1_001_second","2","passive_ns","A_second",8,4.934510588645,1
"ldrc_1_001_second","2","passive_s","A_second",8,3.8109459877,0.625
"ldrc_1_004_second","1","active_ns","A_second",8,5.644944548605,1
"ldrc_1_004_second","1","active_s","A_second",8,6.54639983177,0.875
"ldrc_1_004_second","1","passive_ns","A_second",8,5.49692106247,0.875
"ldrc_1_004_second","1","passive_s","A_second",8,5.999609470365,0.75
"ldrc_1_004_second","2","active_ns","A_second",8,4.28438186646,0.875
"ldrc_1_004_second","2","active_s","A_second",8,5.17702507973,0.875
"ldrc_1_004_second","2","passive_ns","A_second",8,6.34195756912,1
"ldrc_1_004_second","2","passive_s","A_second",8,6.09343600273,0.875
"ldrc_1_015_second","1","active_ns","A_second",8,7.22142696381,0.875
"ldrc_1_015_second","1","active_s","A_second",8,5.38826417923,0.625
"ldrc_1_015_second","1","passive_ns","A_second",8,6.62760257721,0.75
"ldrc_1_015_second","1","passive_s","A_second",8,6.044491052625,0.5
"ldrc_1_015_second","2","active_ns","A_second",8,7.20906198025,1
"ldrc_1_015_second","2","active_s","A_second",8,6.09238255024,0.75
"ldrc_1_015_second","2","passive_ns","A_second",8,7.23545312881,0.875
"ldrc_1_015_second","2","passive_s","A_second",8,6.78013086319,0.625
"ldrc_1_015_second","3","active_ns","A_second",8,5.54074192047,0.875
"ldrc_1_015_second","3","active_s","A_second",8,5.346733927725,0.5
"ldrc_1_015_second","3","passive_ns","A_second",8,6.024320483205,1
"ldrc_1_015_second","3","passive_s","A_second",8,6.175995111465,0.5
"ldrc_1_020_second","1","active_ns","A_second",8,4.6742875576,1
"ldrc_1_020_second","1","active_s","A_second",8,4.97509288788,0.875
"ldrc_1_020_second","1","passive_ns","A_second",8,5.17406511307,0.875
"ldrc_1_020_second","1","passive_s","A_second",8,5.61674499512,0.625
"ldrc_1_020_second","2","active_ns","A_second",8,4.757650494575,1
