"subind","groups","runnum","first","cond_type","N","rt_median","acc_avg","city","sense","active","ID","subtype","rep","city.sense","city.active","subtype.sense","groups.sense","ID2"
"1_001","A_first","2",1,"active_s",8,4.085738062855,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_001","A_first","2",1,"passive_ns",8,5.46447789669,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_001","A_first","2",1,"passive_s",8,4.78329205513,0.375,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_001","A_first","3",1,"active_ns",8,5.07020306587,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_001","A_first","3",1,"active_s",8,4.14340901375,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_firstsense","1"
"1_001","A_first","3",1,"passive_ns",8,5.19720697403,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_firstnonsense","1"
"1_001","A_first","3",1,"passive_s",8,6.33115005493,0.625,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_firstsense","1"
"1_001","A_second","1",1,"active_ns",8,4.350394010545,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","1"
"1_001","A_second","1",1,"active_s",8,4.26786184311,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_secondsense","1"
"1_001","A_second","1",1,"passive_ns",8,4.81098461151,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","1"
"1_001","A_second","1",1,"passive_s",8,4.65741300583,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_secondsense","1"
"1_001","A_second","2",1,"active_ns",8,4.040380477905,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_secondnonsense","1"
"1_001","A_second","2",1,"active_s",8,4.306191444395,0.75,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_secondsense","1"
"1_001","A_second","2",1,"passive_ns",8,4.934510588645,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_secondnonsense","1"
"1_001","A_second","2",1,"passive_s",8,3.8109459877,0.625,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_secondsense","1"
"1_001","A_third","1",1,"active_ns",8,3.11904883385,0.875,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_001","A_third","1",1,"active_s",8,3.936294674875,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_001","A_third","1",1,"passive_ns",8,4.31100845337,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_001","A_third","1",1,"passive_s",8,3.92235398293,0.75,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_001","A_third","2",1,"active_ns",8,3.750253915785,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_001","A_third","2",1,"active_s",8,4.057094573975,1,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_001","A_third","2",1,"passive_ns",8,4.25130844116,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_001","A_third","2",1,"passive_s",8,4.0925359726,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_001","A_third","3",1,"active_ns",8,3.7737749815,1,"austin","nonsense","active","1","i","r","austinnonsense","austinactive","inonsense","A_thirdnonsense","1"
"1_001","A_third","3",1,"active_s",8,3.21040892601,0.875,"austin","sense","active","1","i","r","austinsense","austinactive","isense","A_thirdsense","1"
"1_001","A_third","3",1,"passive_ns",8,4.631487965585,1,"austin","nonsense","passive","1","i","r","austinnonsense","austinpassive","inonsense","A_thirdnonsense","1"
"1_001","A_third","3",1,"passive_s",8,3.49812197685,0.875,"austin","sense","passive","1","i","r","austinsense","austinpassive","isense","A_thirdsense","1"
"1_002","A_first","2",1,"active_ns",8,4.165267944335,1,"austin","nonsense","active","1","i","u","austinnonsense","austinactive","inonsense","A_firstnonsense","1"
"1_002","A_first","2",1,"active_s",8,3.4961669445,0.875,"austin","sense","active","1","i","u","austinsense","austinactive","isense","A_firstsense","1"
