"subind","group","N","rt_mean","rt_sd","acc_mean","acc_sd","group2","city","ID","ID2","rep"
"10493_1","H2_second",3,3.61897275440833,0.472931441003003,0.958333333333333,0.0477351634891233,"second","houston","1","1","r"
"10743_1","H2_second",1,5.08390111375,NA,0.65625,NA,"second","houston","1","1","u"
"10942_1","H2_second",3,3.63173782586,0.366029523476951,0.96875,0,"second","houston","1","1","u"
"12307_1","H2_second",3,4.230917491875,0.398899517076274,0.8125,0.0541265877365274,"second","houston","1","1","u"
"O1794_1","H2_second",2,4.6174824113825,0.030185819759334,0.796875,0.110485434560398,"second","houston","O","O","r"
"O9085_0","H2_second",1,4.398498483545,NA,0.8125,NA,"second","houston","O","O","u"
"O9087_1","H2_second",3,2.81725200555833,0.361647657258024,0.895833333333333,0.0650520624833166,"second","houston","O","O","r"
"c_032","A_control",3,4.03570652008,0.144007525133787,0.833333333333333,0.140914054775715,"control","austin","c","c","u"
"c_037","A_control",2,3.21496939659,0.115848873917656,0.953125,0.0662912607362388,"control","austin","c","c","u"
"c_039","A_control",3,3.79877646764167,0.811506018874432,0.854166666666667,0.0721687836487032,"control","austin","c","c","u"
"c_043","A_control",3,5.01504019895833,0.135629794398201,0.770833333333333,0.109746393258883,"control","austin","c","c","u"
"c_044","A_control",2,4.260716080665,0.128568961384371,0.890625,0.0220970869120796,"control","austin","c","c","u"
"c_045","A_control",2,3.151875913145,0.266484492184905,0.984375,0.0220970869120796,"control","austin","c","c","u"
"c_046","A_control",2,3.63723528385,0.39535311765911,0.984375,0.0220970869120796,"control","austin","c","c","u"
"c_047","A_control",2,3.4821256995175,0.409486557548811,0.890625,0.0662912607362388,"control","austin","c","c","u"
"c_058","A_control",2,1.72517955303,0.0633276629377797,0.96875,0,"control","austin","c","c","u"
"c_059","A_control",3,2.62736248970167,0.144669667546713,0.979166666666667,0.0180421959121758,"control","austin","c","c","u"
"c_061","A_control",3,4.06922904650333,0.121078947786675,0.822916666666667,0.0954703269782467,"control","austin","c","c","u"
"c_062","A_control",2,3.780950784685,0.0132776059780469,0.859375,0.0662912607362388,"control","austin","c","c","u"
"c_078","A_control",2,2.887956500055,0.353797336556726,0.90625,0.0883883476483184,"control","austin","c","c","u"
"c_079","A_control",3,4.48920675118833,1.00254662584596,0.916666666666667,0.0180421959121758,"control","austin","c","c","u"
"c_081","A_control",3,3.484649181365,0.715377017111773,0.895833333333333,0.0721687836487032,"control","austin","c","c","u"
"c_082","A_control",3,2.86636734008833,0.248250564714321,0.895833333333333,0.0360843918243516,"control","austin","c","c","u"
"c_084","A_control",3,3.412345369655,0.213976436961659,0.989583333333333,0.0180421959121758,"control","austin","c","c","u"
"c_085","A_control",2,3.32694900036,0.151773330302269,0.890625,0.0662912607362388,"control","austin","c","c","u"
"c_086","A_control",3,3.39153683185667,0.302035943830003,0.90625,0.03125,"control","austin","c","c","u"
"c_101","A_control",3,2.853226065635,0.321736801922922,0.947916666666667,0.090210979560879,"control","austin","c","c","u"
"c_103","A_control",2,4.3925229907025,0.110444383529249,0.734375,0.0662912607362388,"control","austin","c","c","u"
"8960_c","H_control_second",3,3.870483651785,0.15683163025918,0.8125,0.0541265877365274,"control","houston","c","c","u"
"8961_c","H_control_second",3,2.68804465187167,0.0396633858871325,0.9375,0.0625,"control","houston","c","c","u"
"8963_c","H_control_second",3,3.80346411992,0.424409891524386,0.947916666666667,0.0360843918243516,"control","houston","c","c","u"
"8967_c","H_control_second",3,3.12750664084667,0.105284914023499,0.958333333333333,0.0360843918243516,"control","houston","c","c","u"
"8972_c","H_control_second",3,3.73874545218833,0.0944180864088376,0.864583333333333,0.0477351634891233,"control","houston","c","c","u"
"8974_c","H_control_second",2,3.39930547187,0.180194779317758,0.953125,0.0662912607362388,"control","houston","c","c","u"
