"subind","group","N","rt_mean","rt_se","acc_mean","acc_se"
"2_008_third","A_third",3,3.39848148822833,0.360316347607986,0.9375,0.0180421959121758
"2_010_third","A_third",3,4.272843201955,0.0800255131655066,0.822916666666667,0.0104166666666667
"2_034_third","A_third",3,4.53101702531333,0.131126416630615,0.895833333333333,0.0551198189805123
"ldrc2_0_104","A2_first",3,4.02640509605667,0.104505628456368,0.916666666666667,0.0375578257860832
"ldrc2_0_122","A2_first",2,4.3093944788,0.12299954891,0.84375,0.0625
"ldrc2_0_123","A2_first",2,3.661180257795,0.634461283685,0.90625,0.03125
"ldrc2_0_124","A2_first",2,3.1208737492575,0.1721146702775,0.890625,0.078125
"ldrc2_0_137","A2_first",3,4.49437634150333,0.0648821630269107,0.833333333333333,0.0275599094902562
"ldrc2_0_140","A2_first",3,5.35560711224833,0.246135527351321,0.84375,0.0477351634891233
"ldrc2_0_143","A2_first",3,4.44697833061167,0.299881595536681,0.875,0.03125
"ldrc2_0_145","A2_first",3,3.98774405320333,0.386507941485481,0.96875,0.0180421959121758
"ldrc2_0_151","A2_first",3,4.788208007815,0.104948263074186,0.84375,0.0477351634891233
"ldrc2_0_172","A2_first",3,4.54795285065833,0.133234357243276,0.947916666666667,0.0275599094902562
"ldrc2_1_129","A2_first",1,3.141140937805,NA,0.875,NA
"ldrc2_1_133","A2_first",3,4.10559570789167,0.154642680717978,0.833333333333333,0.0275599094902562
"ldrc2_1_139","A2_first",1,6.19374585152,NA,0.84375,NA
"ldrc2_1_141","A2_first",3,4.75526205698333,0.546622754101636,0.78125,0.0625
"ldrc2_1_147","A2_first",2,5.73736524582,0.0876632928849999,0.75,0.0625
"ldrc2_1_152","A2_first",1,4.34093689919,NA,0.90625,NA
"ldrc2_1_157","A2_first",3,2.99895377954,0.115596996300445,0.927083333333333,0.0104166666666667
"ldrc2_1_173","A2_first",3,3.24804151058333,0.0811135014432178,0.916666666666667,0.0375578257860832
"0_122_second","A2_second",3,3.37304747104833,0.119639173755441,0.90625,0.0541265877365274
"0_123_second","A2_second",3,3.63770453135,0.367057874497369,0.916666666666667,0.0208333333333333
"0_124_second","A2_second",3,2.39216367403667,0.0908929359817005,0.958333333333333,0.0104166666666667
"0_140_second","A2_second",2,4.32330733538,0.36920684576,0.796875,0.078125
"0_143_second","A2_second",3,4.28456493218667,0.0534414967556081,0.8125,0.0180421959121758
"0_151_second","A2_second",3,4.01384294032833,0.208475767272263,0.9375,0.03125
"1_115_second","A2_second",1,3.69735646248,NA,1,NA
"1_133_second","A2_second",3,4.444678346315,0.034622044048213,0.895833333333333,0.0104166666666667
"1_134_second","A2_second",2,4.2603956461,0.44852244854,0.75,0.03125
"1_139_second","A2_second",3,5.971332351365,0.0992107841806382,0.833333333333333,0.0454051973285487
"1_147_second","A2_second",3,5.685827652615,0.0722339335297328,0.6875,0.0721687836487032
