"subind","group","N","rt_mean","rt_sd","acc_mean","acc_sd"
"ldrc3_1_214","A3_first",3,2.90057531992333,0.0836856584043022,0.864583333333333,0.0477351634891233
"ldrc3_1_224","A3_first",3,3.52390015125167,0.277887437156901,0.947916666666667,0.0650520624833166
"ldrc3_1_227","A3_first",3,4.02111562093,1.10581161744138,0.84375,0.0625
"ldrc3_1_229","A3_first",3,4.30042568842333,0.407938308988541,0.802083333333333,0.0721687836487032
"ldrc3_1_241","A3_first",3,6.343683719635,0.448521862414971,0.739583333333333,0.078644108700737
"ldrc3_1_242","A3_first",3,4.80405886968,1.10833119658815,0.770833333333333,0.0477351634891233
"ldrc3_1_246","A3_first",1,4.58460307121,NA,0.78125,NA
"H_LDFHO1627_2","H_first",2,5.898138797125,0.690974802497476,0.625,0
"H_LDFHO1794_1","H_first",1,6.5975909127,NA,0.65625,NA
"H_LDFHO1986_1_second","H_second",2,4.70817271904,0.280793341391558,0.734375,0.0220970869120796
"H_LDFHO2436_2_second","H_second",3,3.76593951256833,0.30042194849251,0.875,0.0826797284707685
"H_LDFHO2569_2_second","H_second",3,5.42157744010167,0.946131141682093,0.760416666666667,0.154152589447383
"H_LDFHO1496_2_third","H_third",3,3.61016350782833,0.419621182910757,0.78125,0.09375
"H_LDFHO1589_2_third","H_third",2,3.9341784022925,0.539082526380037,0.703125,0.0220970869120796
"H_LDFHO1690_2_third","H_third",3,3.45525347688167,0.224429252724435,0.822916666666667,0.126295371385231
"H_LDFHO1697_1_third","H_third",3,3.99934305008,0.216225441812193,0.854166666666667,0.0180421959121758
"H_LDFHO2167_2_third","H_third",2,4.237802155595,0.43488288813889,0.71875,0.0883883476483184
"H_LDFHO2416_1_third","H_third",3,5.36670185866667,0.497735921632001,0.822916666666667,0.0360843918243516
"H_LDFHO2479_1_third","H_third",3,4.41107210008,0.3913529285385,0.864583333333333,0.130104124966633
"H_LDFHO2569_2_third","H_third",2,4.261560369325,0.60583935659073,0.90625,0
"H_LDFHO2798_1_third","H_third",1,5.51909130169,NA,0.65625,NA
"LDFHO10238_1","H2_first",1,4.71075531891,NA,0.71875,NA
"LDFHO10297_1","H2_first",2,3.97103850851,0.165702810816473,0.859375,0.0220970869120796
"LDFHO10328_1","H2_first",3,4.10224508354,0.251777221738086,0.760416666666667,0.0721687836487032
"LDFHO10493_1","H2_first",2,3.3949568675825,0.393865087688963,0.921875,0.0220970869120796
"/LDFHO1794_1","H2_first",2,5.0013471556225,0.433305210343709,0.703125,0.0662912607362388
"/LDFHO5782_1","H2_first",3,3.900560738725,0.519440204626639,0.75,0.0826797284707685
"/LDFHO9087_1","H2_first",2,2.795789233705,0.365758297425759,0.921875,0.0220970869120796
"LDFHO10238_1_second","H2_second",1,4.419506195085,NA,0.75,NA
"LDFHO10328_1_second","H2_second",1,3.940496651795,NA,0.625,NA
"LDFHO10378_1_second","H2_second",3,4.56337689725333,0.477534129841399,0.927083333333333,0.0180421959121758
"LDFHO10493_1_second","H2_second",3,3.61897275440833,0.472931441003003,0.958333333333333,0.0477351634891233
"LDFHO10743_1_second","H2_second",1,5.08390111375,NA,0.65625,NA
"LDFHO10942_1_second","H2_second",3,3.63173782586,0.366029523476951,0.96875,0
"LDFHO12307_1_second","H2_second",3,4.230917491875,0.398899517076274,0.8125,0.0541265877365274
"/LDFHO1794_1_second","H2_second",2,4.6174824113825,0.030185819759334,0.796875,0.110485434560398
"/LDFHO9085_0_second","H2_second",1,4.398498483545,NA,0.8125,NA
"/LDFHO9087_1_second","H2_second",3,2.81725200555833,0.361647657258024,0.895833333333333,0.0650520624833166
"LDFHO23801_1_3","H3_first",2,3.6589411352425,0.150645990770661,0.828125,0.154679608384557
"LDFHO24839_1_3","H3_first",2,3.521430549825,0.340020227074544,0.90625,0.132582521472478
"LDFHO24861_1_3","H3_first",1,4.77692741412,NA,0.6875,NA
"ldrc3_c_181","A_control",3,3.229308048885,0.186426504415465,0.9765625,0.0078125
"ldrc3_c_185","A_control",3,2.13559484482167,0.0238919508596232,0.96875,0.03125
"ldrc3_c_188","A_control",1,4.043645977975,NA,0.9375,NA
"ldrc3_c_190","A_control",3,3.62878700097667,0.103462685945293,0.9375,0.03125
"ldrc3_c_194","A_control",2,3.3095033168775,0.119294800250608,0.921875,0.0220970869120796
"ldrc3_c_198","A_control",3,2.92967013518333,0.302955318981348,0.989583333333333,0.0180421959121758
"ldrc3_c_199","A_control",3,4.35468979676667,0.175964424908345,0.927083333333333,0.0180421959121758
"ldrc3_c_203","A_control",3,2.157927155495,0.564692996011092,0.989583333333333,0.0180421959121758
"ldrc3_c_221","A_control",3,3.28387216727167,0.34925735031728,0.958333333333333,0.0180421959121758
"/ldrc_c_032","A_control",3,4.0394560496,0.0852314763229368,0.796875,0.0960016072456602
"/ldrc_c_037","A_control",2,3.21496939659,0.115848873917656,0.953125,0.0662912607362388
"/ldrc_c_039","A_control",3,3.79877646764167,0.811506018874432,0.854166666666667,0.0721687836487032
"/ldrc_c_043","A_control",3,5.01504019895833,0.135629794398201,0.770833333333333,0.109746393258883
"/ldrc_c_044","A_control",2,4.260716080665,0.128568961384371,0.890625,0.0220970869120796
"/ldrc_c_045","A_control",2,3.151875913145,0.266484492184905,0.984375,0.0220970869120796
"/ldrc_c_046","A_control",2,3.63723528385,0.39535311765911,0.984375,0.0220970869120796
"/ldrc_c_047","A_control",2,3.4821256995175,0.409486557548811,0.890625,0.0662912607362388
"/ldrc_c_058","A_control",2,1.72517955303,0.0633276629377797,0.96875,0
"/ldrc_c_059","A_control",3,2.62736248970167,0.144669667546713,0.979166666666667,0.0180421959121758
"/ldrc_c_061","A_control",3,4.06922904650333,0.121078947786675,0.822916666666667,0.0954703269782467
"/ldrc_c_062","A_control",2,3.780950784685,0.0132776059780469,0.859375,0.0662912607362388
"/ldrc_c_078","A_control",2,2.887956500055,0.353797336556726,0.90625,0.0883883476483184
"/ldrc_c_079","A_control",3,4.48920675118833,1.00254662584596,0.916666666666667,0.0180421959121758
"/ldrc_c_081","A_control",3,3.484649181365,0.715377017111773,0.895833333333333,0.0721687836487032
"/ldrc_c_082","A_control",3,2.86636734008833,0.248250564714321,0.895833333333333,0.0360843918243516
"/ldrc_c_084","A_control",3,3.412345369655,0.213976436961659,0.989583333333333,0.0180421959121758
"/ldrc_c_085","A_control",2,3.32694900036,0.151773330302269,0.890625,0.0662912607362388
"/ldrc_c_086","A_control",3,3.39153683185667,0.302035943830003,0.90625,0.03125
"/ldrc_c_101","A_control",3,2.853226065635,0.321736801922922,0.947916666666667,0.090210979560879
"/ldrc_c_103","A_control",2,4.401972413065,0.0250761947513017,0.69140625,0.0165728151840597
"rc3_c_187_2","A_control",3,3.92535805702,0.522006140500004,0.979166666666667,0.0180421959121758
"H_LDIMG8957","H_control_first",3,5.36519880450167,0.319486858662244,0.65625,0.03125
"H_LDIMG8960","H_control_first",3,5.26618206732167,0.570781212968805,0.8125,0.0826797284707685
"H_LDIMG8961","H_control_first",3,3.06263717188167,0.235875568642983,0.9375,0.03125
"H_LDIMG8963","H_control_first",3,3.54364882906667,0.0311052176897433,0.947916666666667,0.0180421959121758
"H_LDIMG8972","H_control_first",3,3.65411670745667,0.432179481755507,0.885416666666667,0.0180421959121758
"H_LDIMG8960_c_second","H_control_second",3,3.870483651785,0.15683163025918,0.8125,0.0541265877365274
"H_LDIMG8961_c_second","H_control_second",3,2.68804465187167,0.0396633858871325,0.9375,0.0625
"H_LDIMG8963_c_second","H_control_second",3,3.80346411992,0.424409891524386,0.947916666666667,0.0360843918243516
"H_LDIMG8967_c_second","H_control_second",3,3.12750664084667,0.105284914023499,0.958333333333333,0.0360843918243516
"H_LDIMG8972_c_second","H_control_second",3,3.73874545218833,0.0944180864088376,0.864583333333333,0.0477351634891233
"H_LDIMG8974_c_second","H_control_second",2,3.39930547187,0.180194779317758,0.953125,0.0662912607362388
"H_LDIMG8960_c_third","H_control_third",3,4.72933665543333,0.379927349382023,0.791666666666667,0.0360843918243516
"H_LDIMG8961_c_third","H_control_third",2,3.4813102076825,0.514294070355634,0.890625,0.0662912607362388
"H_LDIMG8963_c_third","H_control_third",3,2.73785801663333,0.209255064005658,0.96875,0
