"","TrialNum","Onset","TrueOns","cond","Stim","Resp","RT","StopTrial","SSD","correct","subind","runnum","first","group_num","group"
"184",55,144,144.01,1,1,"4",0.477888,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"185",56,146,146.01,1,1,"4",0.669944,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"186",57,148,148.01,0,0,"1",0.480193,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"187",58,150,150.01,1,1,"4",0.438561,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"188",59,152,152.01,0,0,"1",0.532686,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"189",60,154,154.01,0,0,"1",0.540973,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"190",61,158,158.01,3,1,"0",0,1,0.3,4,"ldrc_0_009","2",1,1,"A_first"
"191",62,161,161.02,2,0,"1",0.551422,1,0.35,3,"ldrc_0_009","2",1,1,"A_first"
"192",63,163,163.02,2,0,"0",0,1,0.3,4,"ldrc_0_009","2",1,1,"A_first"
"193",64,171,171.02,0,0,"1",0.896204,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"194",65,176,176,1,1,"4",0.956266,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"195",66,179,179.01,0,0,"1",0.425107,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"196",67,184,184.01,0,0,"1",0.525139,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"197",68,186,186.01,0,0,"1",0.711372,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"198",69,190,190.01,0,0,"1",0.459798,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"199",70,192,192.01,1,1,"4",0.83607,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"200",71,194,194.01,1,1,"4",0.423137,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"201",72,196,196.01,1,1,"4",0.526569,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"202",73,199,199.01,2,0,"1",0.444475,1,0.35,3,"ldrc_0_009","2",1,1,"A_first"
"203",74,201,201.02,3,1,"4",0.360641,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"204",75,204,204.02,2,0,"1",0.528509,1,0.25,3,"ldrc_0_009","2",1,1,"A_first"
"205",76,207,207.02,1,1,"4",0.588375,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"206",77,211,211,1,1,"4",0.487618,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"207",78,214,214,0,0,"1",0.563346,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"208",79,216,216,0,0,"1",0.580561,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"209",80,219,219.01,0,0,"1",0.525464,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"210",81,221,221.01,0,0,"1",0.652791,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"211",82,225,225.01,3,1,"0",0,1,0.2,4,"ldrc_0_009","2",1,1,"A_first"
"212",83,227,227.01,1,1,"4",0.776414,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"213",84,229,229.01,3,1,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"214",85,231,231.01,2,0,"1",0.426953,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"215",86,233,233.01,3,1,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"216",87,238,238.01,1,1,"4",0.590224,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"217",88,240,240.01,1,1,"4",0.5662,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"218",89,244,244.02,1,1,"4",0.486877,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"219",90,246,246.02,0,0,"1",0.455979,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"220",91,248,248.02,1,1,"4",0.387362,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"221",92,250,250,1,1,"4",0.46522,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"222",93,252,252,1,1,"4",0.416426,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"223",94,255,255,2,0,"1",0.533404,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"224",95,257,257.01,1,1,"4",0.45062,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"225",96,259,259.01,0,0,"1",0.525949,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"226",97,261,261.01,0,0,"1",0.601056,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"227",98,263,263.01,3,1,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"228",99,265,265.01,0,0,"1",0.350623,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"229",100,267,267.01,1,1,"4",0.451845,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"230",101,269,269.01,0,0,"1",0.510089,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"231",102,274,274.01,3,1,"4",0.4563,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"232",103,276,276.01,2,0,"1",0.058283,1,0.25,3,"ldrc_0_009","2",1,1,"A_first"
"233",104,279,279.01,0,0,"1",0.589316,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"234",105,281,281.01,0,0,"1",0.571568,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"235",106,286,286.02,1,1,"4",0.463543,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"236",107,290,290.02,1,1,"4",0.515007,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"237",108,293,293,0,0,"1",0.552547,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"238",109,295,295,0,0,"1",0.653748,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"239",110,297,297,1,1,"4",0.522093,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"240",111,300,300.01,0,0,"1",0.591914,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"241",112,302,302.01,0,0,"1",0.901114,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"242",113,308,308.01,3,1,"0",0,1,0.2,4,"ldrc_0_009","2",1,1,"A_first"
"243",114,310,310.01,0,0,"1",0.554041,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"244",115,312,312.01,2,0,"0",0,1,0.25,4,"ldrc_0_009","2",1,1,"A_first"
"245",116,314,314.01,0,0,"1",0.868511,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"246",117,316,316.01,0,0,"1",0.68573,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"247",118,318,318.01,0,0,"1",0.92483,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"248",119,324,324.02,1,1,"4",0.735474,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"249",120,326,326.02,1,1,"0",0,0,0,5,"ldrc_0_009","2",1,1,"A_first"
"250",121,329,329.02,0,0,"1",0.399843,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"251",122,331,331,0,0,"1",0.586591,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"252",123,333,333,1,1,"4",0.373762,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"253",124,337,337,1,1,"4",0.525318,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"254",125,339,339.01,2,0,"1",0.590877,1,0.3,3,"ldrc_0_009","2",1,1,"A_first"
"255",126,344,344.01,1,1,"4",0.723753,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"256",127,346,346.01,0,0,"1",0.825742,0,0,1,"ldrc_0_009","2",1,1,"A_first"
"257",0,0,0.02,1,1,"0",0,0,0,5,"ldrc_0_018","1",1,1,"A_first"
"258",1,2,2.02,1,1,"1",0.362277,0,0,0,"ldrc_0_018","1",1,1,"A_first"
"259",2,5,5.02,1,1,"4",0.386158,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"260",3,12,12,0,0,"1",0.441177,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"261",4,14,14.01,3,1,"4",0.426486,1,0.25,3,"ldrc_0_018","1",1,1,"A_first"
"262",5,16,16.01,3,1,"4",0.558631,1,0.2,3,"ldrc_0_018","1",1,1,"A_first"
"263",6,18,18.01,2,0,"1",0.485038,1,0.15,3,"ldrc_0_018","1",1,1,"A_first"
"264",7,21,21.01,0,0,"1",0.570834,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"265",8,23,23.01,1,1,"4",0.560981,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"266",9,25,25.01,0,0,"1",0.905299,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"267",10,34,34.01,0,0,"1",0.636712,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"268",11,36,36.01,1,1,"4",0.775054,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"269",12,39,39.02,1,1,"4",0.500777,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"270",13,41,41.02,0,0,"1",0.422073,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"271",14,43,43.02,0,0,"1",0.534317,0,0,1,"ldrc_0_018","1",1,1,"A_first"
"272",15,46,46,0,0,"1",0.574749,0,0,1,"ldrc_0_018","1",1,1,"A_first"
