"","subnum","runnum","vif","value"
"2615","LDFHO10493_1","Run1","des.matV11",NA
"2616","LDFHO10493_1","Run1","des.matV12",NA
"2713","/LDFHO9087_1","Run2","des.matV11",NA
"2714","/LDFHO9087_1","Run2","des.matV12",NA
"2727","/LDFHO9087_1","Run3","des.matV11",NA
"2728","/LDFHO9087_1","Run3","des.matV12",NA
"2741","c_032","Run1","des.matV11",NA
"2742","c_032","Run1","des.matV12",NA
"2755","c_032","Run2","des.matV11",NA
"2756","c_032","Run2","des.matV12",NA
"2769","c_032","Run3","des.matV11",NA
"2770","c_032","Run3","des.matV12",NA
"2783","c_037","Run1","des.matV11",NA
"2784","c_037","Run1","des.matV12",NA
"2797","c_037","Run2","des.matV11",NA
"2798","c_037","Run2","des.matV12",NA
"2825","c_039","Run2","des.matV11",NA
"2826","c_039","Run2","des.matV12",NA
"2839","c_039","Run3","des.matV11",NA
"2840","c_039","Run3","des.matV12",NA
"2867","c_043","Run2","des.matV11",NA
"2868","c_043","Run2","des.matV12",NA
"2881","c_043","Run3","des.matV11",NA
"2882","c_043","Run3","des.matV12",NA
"2923","c_045","Run1","des.matV11",NA
"2924","c_045","Run1","des.matV12",NA
"2937","c_045","Run2","des.matV11",NA
"2938","c_045","Run2","des.matV12",NA
"2951","c_046","Run1","des.matV11",NA
"2952","c_046","Run1","des.matV12",NA
"2965","c_046","Run3","des.matV11",NA
"2966","c_046","Run3","des.matV12",NA
"2993","c_047","Run2","des.matV11",NA
"2994","c_047","Run2","des.matV12",NA
"3007","c_058","Run1","des.matV11",NA
"3008","c_058","Run1","des.matV12",NA
"3021","c_059","Run1","des.matV11",NA
"3022","c_059","Run1","des.matV12",NA
"3035","c_059","Run2","des.matV11",NA
"3036","c_059","Run2","des.matV12",NA
"3049","c_059","Run3","des.matV11",NA
"3050","c_059","Run3","des.matV12",NA
"3077","c_061","Run2","des.matV11",NA
"3078","c_061","Run2","des.matV12",NA
"3091","c_061","Run3","des.matV11",NA
"3092","c_061","Run3","des.matV12",NA
"3105","c_062","Run1","des.matV11",NA
"3106","c_062","Run1","des.matV12",NA
"3119","c_062","Run2","des.matV11",NA
"3120","c_062","Run2","des.matV12",NA
"3133","c_078","Run1","des.matV11",NA
"3134","c_078","Run1","des.matV12",NA
"3147","c_078","Run2","des.matV11",NA
"3148","c_078","Run2","des.matV12",NA
"3189","c_079","Run3","des.matV11",NA
"3190","c_079","Run3","des.matV12",NA
"3217","c_081","Run2","des.matV11",NA
"3218","c_081","Run2","des.matV12",NA
"3231","c_081","Run3","des.matV11",NA
"3232","c_081","Run3","des.matV12",NA
"3259","c_082","Run2","des.matV11",NA
"3260","c_082","Run2","des.matV12",NA
"3273","c_082","Run3","des.matV11",NA
"3274","c_082","Run3","des.matV12",NA
"3287","c_084","Run1","des.matV11",NA
"3288","c_084","Run1","des.matV12",NA
"3301","c_084","Run2","des.matV11",NA
"3302","c_084","Run2","des.matV12",NA
"3315","c_084","Run3","des.matV11",NA
"3316","c_084","Run3","des.matV12",NA
"3343","c_085","Run3","des.matV11",NA
"3344","c_085","Run3","des.matV12",NA
"3357","c_086","Run1","des.matV11",NA
"3358","c_086","Run1","des.matV12",NA
"3399","c_101","Run1","des.matV11",NA
"3400","c_101","Run1","des.matV12",NA
"3413","c_101","Run2","des.matV11",NA
"3414","c_101","Run2","des.matV12",NA
"3427","c_101","Run3","des.matV11",NA
"3428","c_101","Run3","des.matV12",NA
"3483","8960_c_second","Run2","des.matV11",NA
"3484","8960_c_second","Run2","des.matV12",NA
"3497","8960_c_second","Run3","des.matV11",NA
"3498","8960_c_second","Run3","des.matV12",NA
"3525","8961_c_second","Run2","des.matV11",NA
"3526","8961_c_second","Run2","des.matV12",NA
"3539","8961_c_second","Run3","des.matV11",NA
"3540","8961_c_second","Run3","des.matV12",NA
"3553","8963_c_second","Run1","des.matV11",NA
"3554","8963_c_second","Run1","des.matV12",NA
"3581","8963_c_second","Run3","des.matV11",NA
"3582","8963_c_second","Run3","des.matV12",NA
"3595","8967_c_second","Run1","des.matV11",NA
"3596","8967_c_second","Run1","des.matV12",NA
"3609","8967_c_second","Run2","des.matV11",NA
"3610","8967_c_second","Run2","des.matV12",NA
"3637","8972_c_second","Run1","des.matV11",NA
"3638","8972_c_second","Run1","des.matV12",NA
"3665","8972_c_second","Run3","des.matV11",NA
"3666","8972_c_second","Run3","des.matV12",NA
"3693","8974_c_second","Run2","des.matV11",NA
"3694","8974_c_second","Run2","des.matV12",NA
"3763","8961_c_third","Run3","des.matV11",NA
"3764","8961_c_third","Run3","des.matV12",NA
"3777","8963_c_third","Run1","des.matV11",NA
"3778","8963_c_third","Run1","des.matV12",NA
"3791","8963_c_third","Run2","des.matV11",NA
"3792","8963_c_third","Run2","des.matV12",NA
"3805","8963_c_third","Run3","des.matV11",NA
"3806","8963_c_third","Run3","des.matV12",NA
