"subind","group","N","go_rt_mean","go_rt_sd","go_acc_mean","go_error_mean","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","group2","ID","ID2","city","rep"
"0_124","A2_second",2,0.66773175,0.0386232499999999,0.973958333333333,0.0104166666666667,0.546875,0.453125,0.421875,0.421875,0.4234375,0.655220875,0.231783375,"second","0","0","austin","r"
"0_137","A2_second",2,0.59818625,0.000309750000000053,0.901041666666667,0.0416666666666667,0.53125,0.46875,0.46875,0.46875,0.30625,0.59118540625,0.28493540625,"second","0","0","austin","r"
"0_140","A2_second",2,0.675419,0.00665899999999997,0.911458333333333,0.03125,0.546875,0.453125,0.453125,0.453125,0.359375,0.665824296875,0.306449296875,"second","0","0","austin","r"
"0_143","A2_second",2,0.688434,0.0147740000000001,0.828125,0.015625,0.609375,0.390625,0.390625,0.390625,0.471875,0.6472265625,0.1753515625,"second","0","0","austin","r"
"0_145","A2_second",2,0.62355375,0.02019925,0.864583333333333,0,0.53125,0.46875,0.46875,0.46875,0.434375,0.614260375,0.179885375,"second","0","0","austin","r"
"1_115","A2_second",1,0.674424,NA,0.822916666666667,0,0.59375,0.40625,0.40625,0.40625,0.509375,0.6370275625,0.1276525625,"second","1","1","austin","u"
"1_125","A2_second",1,0.7022745,NA,0.75,0.0104166666666667,0.59375,0.40625,0.40625,0.40625,0.54375,0.67316840625,0.12941840625,"second","1","1","austin","u"
"1_129","A2_second",2,0.69019575,0.00609624999999997,0.880208333333333,0.015625,0.5625,0.4375,0.4375,0.4375,0.390625,0.65387634375,0.26325134375,"second","1","1","austin","r"
"1_133","A2_second",2,0.584254,0.024344,0.901041666666667,0.0416666666666667,0.515625,0.484375,0.453125,0.453125,0.3203125,0.57443490625,0.25412240625,"second","1","1","austin","r"
"1_141","A2_second",2,0.603352,0.025883,0.84375,0.015625,0.515625,0.484375,0.4375,0.4375,0.290625,0.599673875,0.309048875,"second","1","1","austin","r"
"ldrc3_0_197","A3_first",1,0.641681,NA,0.78125,0.0729166666666667,0.5625,0.4375,0.40625,0.40625,0.4125,0.588591625,0.176091625,"first","l","l","austin","u"
"ldrc3_0_202","A3_first",2,0.580659,0.023071,0.911458333333333,0.03125,0.5625,0.4375,0.4375,0.4375,0.39375,0.55427828125,0.16052828125,"first","l","l","austin","u"
"ldrc3_0_216","A3_first",2,0.76969225,0.04220975,0.796875,0.0104166666666667,0.5625,0.4375,0.4375,0.4375,0.5234375,0.73682828125,0.21339078125,"first","l","l","austin","u"
"ldrc3_0_217","A3_first",2,0.761399,0.030352,0.802083333333333,0.0208333333333333,0.609375,0.390625,0.390625,0.390625,0.5390625,0.6978360625,0.1587735625,"first","l","l","austin","u"
"ldrc3_0_219","A3_first",2,0.568408,0.00227100000000002,0.90625,0.03125,0.5625,0.4375,0.421875,0.421875,0.3625,0.5469324375,0.1844324375,"first","l","l","austin","u"
"ldrc3_0_234","A3_first",2,0.64473525,0.01638675,0.953125,0,0.546875,0.453125,0.453125,0.453125,0.4453125,0.62921903125,0.18390653125,"first","l","l","austin","u"
"ldrc3_0_235","A3_first",2,0.70632975,0.04410125,0.895833333333333,0,0.578125,0.421875,0.421875,0.421875,0.4953125,0.68739275,0.19208025,"first","l","l","austin","u"
"ldrc3_0_236","A3_first",2,0.655666,0.00762099999999999,0.828125,0.0208333333333333,0.546875,0.453125,0.4375,0.4375,0.3453125,0.634833234375,0.289520734375,"first","l","l","austin","u"
"ldrc3_0_237","A3_first",2,0.58815825,0.05555825,0.890625,0.046875,0.53125,0.46875,0.4375,0.4375,0.4125,0.57782125,0.16532125,"first","l","l","austin","u"
"ldrc3_0_248","A3_first",2,0.7597845,0.0151505,0.817708333333333,0.015625,0.609375,0.390625,0.390625,0.390625,0.575,0.7181039375,0.1431039375,"first","l","l","austin","u"
"ldrc3_1_208","A3_first",1,0.661061,NA,0.833333333333333,0.0104166666666667,0.625,0.375,0.375,0.375,0.490625,0.608376625,0.117751625,"first","l","l","austin","u"
"ldrc3_1_213","A3_first",2,0.588901,0.011379,0.927083333333333,0.0260416666666667,0.546875,0.453125,0.453125,0.453125,0.3984375,0.56670234375,0.16826484375,"first","l","l","austin","u"
"ldrc3_1_214","A3_first",2,0.696955,0.028888,0.911458333333333,0.0104166666666667,0.609375,0.390625,0.375,0.375,0.5171875,0.674546375,0.157358875,"first","l","l","austin","u"
"ldrc3_1_224","A3_first",2,0.781159,0.025172,0.822916666666667,0.015625,0.578125,0.421875,0.421875,0.421875,0.4421875,0.74279875,0.30061125,"first","l","l","austin","u"
"ldrc3_1_226","A3_first",2,0.56037075,0.0162497499999999,0.791666666666667,0.0364583333333333,0.53125,0.46875,0.46875,0.46875,0.3234375,0.551072203125,0.227634703125,"first","l","l","austin","u"
"ldrc3_1_227","A3_first",1,0.7364265,NA,0.791666666666667,0.0104166666666667,0.5625,0.4375,0.4375,0.4375,0.55625,0.7208598125,0.1646098125,"first","l","l","austin","u"
"ldrc3_1_228","A3_first",1,0.6049485,NA,0.8125,0.0729166666666667,0.59375,0.40625,0.40625,0.40625,0.43125,0.55002640625,0.11877640625,"first","l","l","austin","u"
"ldrc3_1_229","A3_first",2,0.6822225,0.0117695,0.822916666666667,0.015625,0.53125,0.46875,0.4375,0.4375,0.41875,0.666595,0.247845,"first","l","l","austin","u"
"ldrc3_1_241","A3_first",1,0.7652485,NA,0.770833333333333,0.0208333333333333,0.6875,0.3125,0.3125,0.3125,0.63125,0.699394,0.0681440000000001,"first","l","l","austin","u"
"ldrc3_1_242","A3_first",2,0.7361615,0.0146765,0.78125,0.046875,0.5,0.5,0.484375,0.484375,0.29375,0.7361615,0.4424115,"first","l","l","austin","u"
"ldrc3_1_243","A3_first",1,0.6461815,NA,0.729166666666667,0.09375,0.53125,0.46875,0.40625,0.40625,0.2625,0.6395346875,0.3770346875,"first","l","l","austin","u"
"1986_1","H_second",1,0.75842,NA,0.770833333333333,0.0104166666666667,0.59375,0.40625,0.34375,0.34375,0.534375,0.7047076875,0.1703326875,"second","1","1","houston","u"
"2436_2","H_second",2,0.731818,0.026097,0.8125,0.00520833333333333,0.59375,0.40625,0.40625,0.40625,0.596875,0.69814134375,0.10126634375,"second","2","1","houston","u"
"2569_2","H_second",1,0.791779,NA,0.75,0,0.625,0.375,0.375,0.375,0.596875,0.743054125,0.146179125,"second","2","1","houston","u"
"2748_1","H_second",1,0.5185045,NA,0.875,0.0625,0.5625,0.4375,0.40625,0.40625,0.396875,0.5095688125,0.1126938125,"second","2","1","houston","u"
"10297_1","H2_first",1,0.632517,NA,0.916666666666667,0.0416666666666667,0.5625,0.4375,0.40625,0.40625,0.34375,0.61396575,0.27021575,"first","1","1","houston","u"
"10328_1","H2_first",1,0.5644755,NA,0.895833333333333,0.0729166666666667,0.5,0.5,0.34375,0.34375,0.275,0.5644755,0.2894755,"first","1","1","houston","r"
