"subind","runnum","N","stop_acc","stop_error","stop_fail_cor","stop_fail_incor","ssd_med","ssd_mean","quantileRT","SSRT","groups"
"c_101","2",128,0.59375,0.40625,0.40625,0,0.55,0.4875,0.71905275,0.23155275,"A_control"
"c_103","1",128,0.59375,0.40625,0.3125,0.09375,0.45,0.45,0.58772059375,0.13772059375,"A_control"
"c_103","2",128,0.53125,0.46875,0.4375,0.03125,0.4,0.409375,0.635373875,0.225998875,"A_control"
"8957","1",128,0.65625,0.34375,0.34375,0,0.425,0.4625,0.57481028125,0.11231028125,"H_control_first"
"8957","2",128,0.625,0.375,0.34375,0.03125,0.625,0.59375,0.678129125,0.084379125,"H_control_first"
"8960","1",128,0.59375,0.40625,0.40625,0,0.575,0.5375,0.82935365625,0.29185365625,"H_control_first"
"8960","2",128,0.65625,0.34375,0.34375,0,0.7,0.628125,0.788725125,0.160600125,"H_control_first"
"8961","1",128,0.71875,0.28125,0.28125,0,0.7,0.65,0.7495529375,0.0995529375,"H_control_first"
"8961","2",128,0.625,0.375,0.375,0,0.625,0.60625,0.72833675,0.12208675,"H_control_first"
"8963","1",128,0.59375,0.40625,0.40625,0,0.45,0.409375,0.586702125,0.177327125,"H_control_first"
"8963","2",128,0.5625,0.4375,0.4375,0,0.475,0.471875,0.60428675,0.13241175,"H_control_first"
"8965","1",128,0.5,0.5,0.5,0,0.3,0.290625,0.4875625,0.1969375,"H_control_first"
"8965","2",128,0.5,0.5,0.5,0,0.3,0.284375,0.515605,0.23123,"H_control_first"
"8972","1",128,0.53125,0.46875,0.375,0.09375,0.2,0.234375,0.5180265,0.2836515,"H_control_first"
"8972","2",128,0.5,0.5,0.5,0,0.3,0.29375,0.5474895,0.2537395,"H_control_first"
"8960_c_second","1",128,0.59375,0.40625,0.40625,0,0.45,0.421875,0.6043978125,0.1825228125,"H_control_second"
"8960_c_second","2",128,0.53125,0.46875,0.46875,0,0.45,0.440625,0.69280525,0.25218025,"H_control_second"
"8961_c_second","1",128,0.5625,0.4375,0.4375,0,0.425,0.43125,0.579468125,0.148218125,"H_control_second"
"8961_c_second","2",128,0.59375,0.40625,0.40625,0,0.5,0.48125,0.6466405,0.1653905,"H_control_second"
"8967_c_second","1",128,0.625,0.375,0.375,0,0.65,0.61875,0.729012,0.110262,"H_control_second"
"8967_c_second","2",128,0.625,0.375,0.375,0,0.55,0.53125,0.724302,0.193052,"H_control_second"
"8972_c_second","1",128,0.53125,0.46875,0.46875,0,0.4,0.390625,0.601068875,0.210443875,"H_control_second"
"8974_c_second","1",128,0.6875,0.3125,0.3125,0,0.7,0.66875,0.76110975,0.09235975,"H_control_second"
"8960_c_third","1",128,0.5625,0.4375,0.4375,0,0.55,0.528125,0.7453509375,0.2172259375,"H_control_third"
"8960_c_third","2",128,0.625,0.375,0.375,0,0.6,0.565625,0.737406,0.171781,"H_control_third"
"8963_c_third","1",128,0.53125,0.46875,0.46875,0,0.25,0.271875,0.50467084375,0.23279584375,"H_control_third"
"8963_c_third","2",128,0.59375,0.40625,0.40625,0,0.35,0.3375,0.502325625,0.164825625,"H_control_third"
