"","subind","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","groups","ID","ID2","INT","city"
"60","c_039",2,0.5625,0.4375,0.421875,0.421875,0.446875,0.58972909375,0.14285409375,"A_control","c","c","c","Austin"
"61","c_043",2,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6207195,0.247282,"A_control","c","c","c","Austin"
"62","c_044",2,0.546875,0.453125,0.453125,0.453125,0.440625,0.65247825,0.21185325,"A_control","c","c","c","Austin"
"63","c_045",2,0.515625,0.484375,0.390625,0.390625,0.3015625,0.6284294375,0.3268669375,"A_control","c","c","c","Austin"
"64","c_046",2,0.515625,0.484375,0.46875,0.46875,0.31875,0.573927765625,0.255177765625,"A_control","c","c","c","Austin"
"65","c_058",2,0.578125,0.421875,0.40625,0.40625,0.425,0.62610946875,0.20110946875,"A_control","c","c","c","Austin"
"66","c_059",2,0.546875,0.453125,0.453125,0.453125,0.3859375,0.67113509375,0.28519759375,"A_control","c","c","c","Austin"
"67","c_061",2,0.5625,0.4375,0.40625,0.40625,0.2921875,0.55410978125,0.26192228125,"A_control","c","c","c","Austin"
"68","c_062",2,0.546875,0.453125,0.421875,0.421875,0.428125,0.6095230625,0.1813980625,"A_control","c","c","c","Austin"
"69","c_078",2,0.546875,0.453125,0.4375,0.4375,0.3125,0.56840165625,0.25590165625,"A_control","c","c","c","Austin"
"70","c_079",2,0.59375,0.40625,0.40625,0.40625,0.4703125,0.675721,0.2054085,"A_control","c","c","c","Austin"
"71","c_081",2,0.546875,0.453125,0.40625,0.40625,0.371875,0.50806534375,0.13619034375,"A_control","c","c","c","Austin"
"72","c_082",2,0.546875,0.453125,0.453125,0.453125,0.3796875,0.57754184375,0.19785434375,"A_control","c","c","c","Austin"
"73","c_084",2,0.609375,0.390625,0.390625,0.390625,0.534375,0.66478209375,0.13040709375,"A_control","c","c","c","Austin"
"74","c_085",2,0.453125,0.546875,0.5,0.5,0.228125,0.6188818125,0.3907568125,"A_control","c","c","c","Austin"
"75","c_086",2,0.5,0.5,0.484375,0.484375,0.3234375,0.61724,0.2938025,"A_control","c","c","c","Austin"
"76","c_101",2,0.578125,0.421875,0.421875,0.421875,0.4109375,0.67594125,0.26500375,"A_control","c","c","c","Austin"
"77","c_103",2,0.5625,0.4375,0.375,0.375,0.4296875,0.611547234375,0.181859734375,"A_control","c","c","c","Austin"
