"subind","N","stop_acc_me","stop_error_me","stop_fail_cor_me","stop_fail_incor_me","ssd","quantileRT_me","SSRT_me","groups"
"c_039",2,0.5625,0.4375,0.421875,0.421875,0.446875,0.58972909375,0.14285409375,"A_control"
"c_043",2,0.53125,0.46875,0.453125,0.453125,0.3734375,0.6207195,0.247282,"A_control"
"c_044",2,0.546875,0.453125,0.453125,0.453125,0.440625,0.65247825,0.21185325,"A_control"
"c_045",2,0.515625,0.484375,0.390625,0.390625,0.3015625,0.6284294375,0.3268669375,"A_control"
"c_046",2,0.515625,0.484375,0.46875,0.46875,0.31875,0.573927765625,0.255177765625,"A_control"
"c_058",2,0.578125,0.421875,0.40625,0.40625,0.425,0.62610946875,0.20110946875,"A_control"
"c_059",2,0.546875,0.453125,0.453125,0.453125,0.3859375,0.67113509375,0.28519759375,"A_control"
"c_061",2,0.5625,0.4375,0.40625,0.40625,0.2921875,0.55410978125,0.26192228125,"A_control"
"c_062",2,0.546875,0.453125,0.421875,0.421875,0.428125,0.6095230625,0.1813980625,"A_control"
"c_078",2,0.546875,0.453125,0.4375,0.4375,0.3125,0.56840165625,0.25590165625,"A_control"
"c_079",2,0.59375,0.40625,0.40625,0.40625,0.4703125,0.675721,0.2054085,"A_control"
"c_081",2,0.546875,0.453125,0.40625,0.40625,0.371875,0.50806534375,0.13619034375,"A_control"
"c_082",2,0.546875,0.453125,0.453125,0.453125,0.3796875,0.57754184375,0.19785434375,"A_control"
"c_084",2,0.609375,0.390625,0.390625,0.390625,0.534375,0.66478209375,0.13040709375,"A_control"
"c_085",2,0.453125,0.546875,0.5,0.5,0.228125,0.6188818125,0.3907568125,"A_control"
"c_086",2,0.5,0.5,0.484375,0.484375,0.3234375,0.61724,0.2938025,"A_control"
"c_101",2,0.578125,0.421875,0.421875,0.421875,0.4109375,0.67594125,0.26500375,"A_control"
"c_103",2,0.5625,0.4375,0.375,0.375,0.4296875,0.611547234375,0.181859734375,"A_control"
"8957",2,0.640625,0.359375,0.34375,0.34375,0.528125,0.626469703125,0.098344703125,"H_control_first"
"8960",2,0.625,0.375,0.375,0.375,0.5828125,0.809039390625,0.226226890625,"H_control_first"
"8961",2,0.671875,0.328125,0.328125,0.328125,0.628125,0.73894484375,0.11081984375,"H_control_first"
"8963",2,0.578125,0.421875,0.421875,0.421875,0.440625,0.5954944375,0.1548694375,"H_control_first"
"8965",2,0.5,0.5,0.5,0.5,0.2875,0.50158375,0.21408375,"H_control_first"
"8972",2,0.515625,0.484375,0.4375,0.4375,0.2640625,0.532758,0.2686955,"H_control_first"
"8960_c_second",2,0.5625,0.4375,0.4375,0.4375,0.43125,0.64860153125,0.21735153125,"H_control_second"
"8961_c_second",2,0.578125,0.421875,0.421875,0.421875,0.45625,0.6130543125,0.1568043125,"H_control_second"
"8967_c_second",2,0.625,0.375,0.375,0.375,0.575,0.726657,0.151657,"H_control_second"
"8972_c_second",1,0.53125,0.46875,0.46875,0.46875,0.390625,0.601068875,0.210443875,"H_control_second"
"8974_c_second",1,0.6875,0.3125,0.3125,0.3125,0.66875,0.76110975,0.09235975,"H_control_second"
"8960_c_third",2,0.59375,0.40625,0.40625,0.40625,0.546875,0.74137846875,0.19450346875,"H_control_third"
"8963_c_third",2,0.5625,0.4375,0.4375,0.4375,0.3046875,0.503498234375,0.198810734375,"H_control_third"
